TaxID	Kraken	Kaiju	CLARK
1	1	NA	7794	NA
2	1	NA	NA	NA
3	10	NA	NA	NA
4	100	NA	NA	NA
5	1002672	NA	NA	2
6	1003195	NA	4	NA
7	1003195	NA	NA	NA
8	1004785	NA	1	NA
9	1004785	NA	NA	NA
10	1005039	NA	NA	1
11	1006007	NA	1	NA
12	1006007	NA	NA	NA
13	1008459	NA	2	NA
14	1008459	NA	NA	NA
15	101	NA	NA	NA
16	10116	4674	NA	NA
17	10116	NA	95806	NA
18	10116	NA	NA	4722
19	10116	NA	NA	NA
20	1014	NA	NA	1
21	101510	NA	1	NA
22	101510	NA	NA	NA
23	102	NA	NA	NA
24	10239	NA	5619	NA
25	10239	NA	NA	NA
26	10240	NA	1	NA
27	10240	NA	NA	NA
28	10260	NA	1	NA
29	10260	NA	NA	NA
30	1028800	NA	1	NA
31	1028800	NA	NA	NA
32	1028801	NA	2	NA
33	1028801	NA	NA	NA
34	1029756	NA	7	NA
35	1029756	NA	NA	NA
36	103	NA	NA	NA
37	1032480	NA	2	NA
38	1032480	NA	NA	NA
39	103731	NA	NA	1
40	10381	NA	2	NA
41	10381	NA	NA	NA
42	103817	NA	1	NA
43	103817	NA	NA	1
44	103817	NA	NA	NA
45	1038856	NA	1	NA
46	1038856	NA	NA	NA
47	104	NA	NA	NA
48	1041504	NA	1	NA
49	1041504	NA	NA	NA
50	1042156	NA	1	NA
51	1042156	NA	NA	NA
52	1042878	NA	1	NA
53	1042878	NA	NA	NA
54	1045854	NA	1	NA
55	1045854	NA	NA	NA
56	1049283	NA	1	NA
57	1049283	NA	NA	NA
58	105	NA	NA	NA
59	1051646	NA	1	NA
60	1051646	NA	NA	NA
61	1052588	NA	1	NA
62	1052588	NA	NA	NA
63	10537	NA	2	NA
64	10537	NA	NA	NA
65	1054217	NA	1	NA
66	1054217	NA	NA	NA
67	1055487	NA	NA	2
68	1055524	NA	1	NA
69	1055524	NA	NA	NA
70	1056495	NA	1	NA
71	1056495	NA	NA	NA
72	106	NA	NA	NA
73	1060	NA	1	NA
74	1060	NA	NA	NA
75	106370	NA	1	NA
76	106370	NA	NA	NA
77	106589	NA	1	NA
78	106589	NA	NA	NA
79	106634	NA	1	NA
80	106634	NA	NA	NA
81	107	NA	NA	NA
82	1071085	NA	2	NA
83	1071085	NA	NA	NA
84	1075399	NA	1	NA
85	1075399	NA	NA	NA
86	1076550	NA	NA	1
87	1076588	NA	1	NA
88	1076588	NA	NA	5
89	1076588	NA	NA	NA
90	1079	NA	1	NA
91	1079	NA	NA	NA
92	108	NA	NA	NA
93	1082931	NA	2	NA
