TaxID	CLARK	Kaiju	Kraken
1	1068	NA	NA	NA
2	502	NA	NA	NA
3	451	NA	NA	NA
4	1612	NA	NA	NA
5	1624	NA	NA	NA
6	55	NA	NA	NA
7	593	NA	NA	NA
8	1407	NA	NA	NA
9	1232	NA	NA	NA
10	2262	NA	NA	NA
11	1890	NA	NA	NA
12	1079	NA	NA	NA
13	1525	NA	NA	NA
14	1353	NA	NA	NA
15	1099	NA	NA	NA
16	2163	NA	NA	NA
17	2206	NA	NA	NA
18	887	NA	NA	NA
19	563	NA	NA	NA
20	1782	NA	NA	NA
21	1896	NA	NA	NA
22	1738	NA	NA	NA
23	733	NA	NA	NA
24	1378	NA	NA	NA
25	566	NA	NA	NA
26	2215	NA	NA	NA
27	1382	NA	NA	NA
28	1215	NA	NA	NA
29	2103	NA	NA	NA
30	2104	NA	NA	NA
31	2029	NA	NA	NA
32	1115	NA	NA	NA
33	1454	NA	NA	NA
34	637	NA	NA	NA
35	638	NA	NA	NA
36	837	NA	NA	NA
37	869	NA	NA	NA
38	1678	NA	NA	NA
39	1680	NA	NA	NA
40	259	NA	NA	NA
41	1287	NA	NA	NA
42	1552	NA	NA	NA
43	1553	NA	NA	NA
44	773	NA	NA	NA
45	778	NA	NA	NA
46	47	NA	NA	NA
47	109	NA	NA	NA
48	1708	NA	NA	NA
49	67	NA	NA	NA
50	1716	NA	NA	NA
51	1905	NA	NA	NA
52	567	NA	NA	NA
53	349	NA	NA	NA
54	614	NA	NA	NA
55	1418	NA	NA	NA
56	2026	NA	NA	NA
57	2019	NA	NA	NA
58	1974	NA	NA	NA
59	2022	NA	NA	NA
60	620	NA	NA	NA
61	1761	NA	NA	NA
62	1790	NA	NA	NA
63	83	NA	NA	NA
64	863	NA	NA	NA
65	931	NA	NA	NA
66	2009	NA	NA	NA
67	994	NA	NA	NA
68	989	NA	NA	NA
69	876	NA	NA	NA
70	1930	NA	NA	NA
71	292	NA	NA	NA
72	1563	NA	NA	NA
73	1869	NA	NA	NA
74	1641	NA	NA	NA
75	1329	NA	NA	NA
76	1321	NA	NA	NA
77	11	NA	NA	NA
78	2183	NA	NA	NA
79	142	NA	NA	NA
80	317	NA	NA	NA
81	1749	NA	NA	NA
82	224	NA	NA	NA
83	318	NA	NA	NA
84	1032	NA	NA	NA
85	1816	NA	NA	NA
86	1924	NA	NA	NA
87	1934	NA	NA	NA
88	1925	NA	NA	NA
89	1936	NA	NA	NA
90	1997	NA	NA	NA
91	1939	NA	NA	NA
92	1977	NA	NA	NA
93	2017	NA	NA	NA
94	2035	NA	NA	NA
95	130	NA	NA	NA
96	1455	NA	NA	NA
97	840	NA	NA	NA
98	1451	NA	NA	NA
99	1484	NA	NA	NA
100	1655	NA	NA	NA
101	652	NA	NA	NA
102	1131	NA	NA	NA
103	1739	NA	NA	NA
104	1254	NA	NA	NA
105	242	NA	NA	NA
106	69	NA	NA	NA
107	726	NA	NA	NA
108	718	NA	NA	NA
109	787	NA	NA	NA
110	1561	NA	NA	NA
111	1957	NA	NA	NA
112	1555	NA	NA	NA
113	2100	NA	NA	NA
114	1080	NA	NA	NA
115	1434	NA	NA	NA
116	1047	NA	NA	NA
117	1665	NA	NA	NA
118	2195	NA	NA	NA
119	34	NA	NA	NA
120	1868	NA	NA	NA
121	1990	NA	NA	NA
122	1459	NA	NA	NA
123	1687	NA	NA	NA
124	1788	NA	NA	NA
125	1926	NA	NA	NA
126	1863	NA	NA	NA
127	1219	NA	NA	NA
128	1338	NA	NA	NA
129	2021	NA	NA	NA
130	942	NA	NA	NA
131	2125	NA	NA	NA
132	2109	NA	NA	NA
133	1605	NA	NA	NA
134	383	NA	NA	NA
135	1048	NA	NA	NA
136	1401	NA	NA	NA
137	803	NA	NA	NA
138	1351	NA	NA	NA
139	120	NA	NA	NA
140	1666	NA	NA	NA
141	615	NA	NA	NA
142	879	NA	NA	NA
143	1375	NA	NA	NA
144	653	NA	NA	NA
145	1006	NA	NA	NA
146	899	NA	NA	NA
147	572	NA	NA	NA
148	1559	NA	NA	NA
149	1645	NA	NA	NA
150	1929	NA	NA	NA
151	2075	NA	NA	NA
152	384	NA	NA	NA
153	1293	NA	NA	NA
154	1403	NA	NA	NA
155	1003	NA	NA	NA
156	968	NA	NA	NA
157	859	NA	NA	NA
158	1243	NA	NA	NA
159	1700	NA	NA	NA
160	1234	NA	NA	NA
161	1235	NA	NA	NA
162	2246	NA	NA	NA
163	858	NA	NA	NA
164	1800	NA	NA	NA
165	627	NA	NA	NA
166	1913	NA	NA	NA
167	1946	NA	NA	NA
168	1870	NA	NA	NA
169	761	NA	NA	NA
170	689	NA	NA	NA
171	1265	NA	NA	NA
172	575	NA	NA	NA
173	670	NA	NA	NA
174	433	NA	NA	NA
175	309	NA	NA	NA
176	90	NA	NA	NA
177	849	NA	NA	NA
178	622	NA	NA	NA
179	2214	NA	NA	NA
180	1111	NA	NA	NA
181	2086	NA	NA	NA
182	324	NA	NA	NA
183	298	NA	NA	NA
184	852	NA	NA	NA
185	1591	NA	NA	NA
186	1904	NA	NA	NA
187	1001	NA	NA	NA
188	2045	NA	NA	NA
189	2001	NA	NA	NA
190	397	NA	NA	NA
191	944	NA	NA	NA
192	172	NA	NA	NA
193	956	NA	NA	NA
194	1763	NA	NA	NA
