TaxID	Kraken	Kaiju	CLARK
1	1	NA	189382	NA
2	1	NA	NA	NA
3	10	NA	8	NA
4	10	NA	NA	NA
5	100	NA	NA	NA
6	1000	NA	NA	NA
7	1000561	NA	2	NA
8	1000561	NA	NA	NA
9	1001	NA	NA	NA
10	1001585	NA	12	NA
11	1001585	NA	NA	NA
12	1001989	NA	1	NA
13	1001989	NA	NA	NA
14	1002	NA	NA	NA
15	100226	NA	3	NA
16	100226	NA	NA	NA
17	1002672	NA	9	NA
18	1002672	NA	NA	6
19	1002672	NA	NA	NA
20	1002804	NA	1	NA
21	1002804	NA	NA	NA
22	1002809	NA	8	NA
23	1002809	NA	NA	NA
24	1003	NA	NA	NA
25	1003110	NA	NA	5
26	1003195	NA	24	NA
27	1003195	NA	NA	NA
28	1004	NA	NA	NA
29	1004788	NA	4	NA
30	1004788	NA	NA	NA
31	1004951	NA	13	NA
32	1004951	NA	NA	NA
33	1004952	NA	44	NA
34	1004952	NA	NA	NA
35	1005	NA	NA	NA
36	1005039	NA	NA	2
37	1005041	NA	5	NA
38	1005041	NA	NA	NA
39	1005042	NA	8	NA
40	1005042	NA	NA	NA
41	1005048	NA	9	NA
42	1005048	NA	NA	NA
43	1005057	NA	3	NA
44	1005057	NA	NA	NA
45	1005058	NA	726	NA
46	1005058	NA	NA	NA
47	1005090	NA	1	NA
48	1005090	NA	NA	NA
49	1006	23	NA	NA
50	1006	NA	NA	36
51	1006	NA	NA	NA
52	1006006	NA	1	NA
53	1006006	NA	NA	NA
54	1006007	NA	3	NA
55	1006007	NA	NA	NA
56	1006551	NA	1	NA
57	1006551	NA	NA	NA
58	1006576	NA	24	NA
59	1006576	NA	NA	NA
60	1006581	NA	7	NA
61	1006581	NA	NA	NA
62	1007	NA	NA	NA
63	1007105	19	NA	NA
64	1007105	NA	39	NA
65	1007105	NA	NA	20
66	1007105	NA	NA	NA
67	100716	NA	NA	8
68	1007676	NA	51	NA
69	1007676	NA	NA	6
70	1007676	NA	NA	NA
71	1008	11	NA	NA
72	1008	NA	NA	22
73	1008	NA	NA	NA
74	1008153	NA	7	NA
75	1008153	NA	NA	NA
76	1008459	NA	27	NA
77	1008459	NA	NA	NA
78	1009	NA	NA	NA
79	1009464	NA	1	NA
80	1009464	NA	NA	NA
81	1009846	NA	6	NA
82	1009846	NA	NA	NA
83	101	NA	NA	NA
84	1010	NA	NA	NA
