TaxID	CLARK	Kaiju	Kraken
1003110	1	NA	NA
10116	2482	40561	2475
101564	14	NA	13
1030157	1	NA	NA
106590	1	NA	NA
1076550	28	16	28
1124597	1	NA	NA
1136941	1	NA	NA
1156433	1	NA	NA
1176649	3	NA	NA
119219	2	NA	NA
1208324	1	NA	NA
1270	12	NA	12
1274	13	7	13
1282	4	1	NA
1283291	2	1	NA
1288494	1	NA	NA
1299	1	NA	NA
1304	2	1	NA
1305	1	NA	NA
1308	1	NA	NA
1334193	3	NA	NA
1337877	284491	NA	NA
134537	1	1	NA
1358	2	NA	NA
138336	2	NA	NA
1392	1	NA	NA
1420917	1	1	NA
146827	2	NA	NA
146939	1	NA	NA
147645	6	5	NA
1484116	1	NA	NA
1528099	3	2	NA
1564114	1	1	NA
1579	1	NA	NA
158822	3	3	NA
158836	1	NA	NA
1617448	1	NA	NA
1618207	1	NA	NA
1619308	1	1	NA
1639108	1	NA	NA
1644131	1	1	NA
1646498	1	NA	NA
1653479	1	NA	NA
1678129	1	NA	NA
169292	1	NA	NA
1697	1	1	NA
1703	1	2	NA
170573	1	NA	NA
1720344	1	NA	NA
1747	63	45	63
1750	1	NA	NA
1766	1	NA	NA
1773	1	NA	NA
179636	1	NA	NA
180282	4	NA	NA
1805714	8	7	61
1821621	2	NA	NA
1828	2	NA	NA
1842533	1	1	NA
1842537	1	NA	NA
1842727	1	NA	NA
1856685	1	NA	NA
1858609	1	1	NA
1869170	1	NA	NA
1870930	1	NA	NA
1898684	15	6	15
1904944	1	2	NA
1905847	1	1	NA
1907766	2	1	NA
190893	1	NA	NA
1912	1	1	NA
1920191	2	NA	NA
1961362	2	NA	NA
197	1	NA	NA
2003121	1	1	NA
2014	1	NA	NA
2033	1	NA	NA
204042	1	NA	NA
2047	1	NA	NA
2061	1	NA	NA
2100	2	NA	NA
212035	1	NA	NA
216465	1	NA	NA
216778	1	1	NA
2173	4	NA	NA
223967	1	NA	NA
2702	19	14	19
28068	1	NA	NA
287	2	5	NA
292	3	4	NA
29385	2	NA	NA
29388	7	NA	NA
294	6	4	NA
29449	1	NA	NA
29486	1	NA	NA
296	1	NA	NA
296591	1	NA	NA
300	5	1	NA
300231	1	NA	NA
303	3	2	NA
314275	2	NA	NA
316	1	2	NA
317	1	NA	NA
330	6	1	NA
330922	1	NA	NA
335659	1	NA	NA
34029	2	NA	NA
34062	1	1	NA
34073	1	NA	NA
343	1	NA	NA
347	1	NA	NA
354	1	NA	NA
358	2	1	NA
358220	1	NA	NA
359	5	6	NA
367189	1	NA	NA
36873	1	NA	NA
370323	1	NA	NA
379067	1	NA	NA
399	1	1	NA
39950	1	NA	NA
40137	1	2	NA
401472	2	2	NA
40214	2	NA	NA
40324	10	3	10
42817	1	NA	NA
43357	1	NA	NA
43771	1	NA	NA
445576	1	NA	NA
446860	1	NA	NA
450734	1	NA	NA
463025	2	NA	NA
470	2	1	NA
482957	4	NA	NA
488447	1	1	NA
488729	1	NA	NA
