Scientific Name,ID
Homo sapiens,9606
Mus musculus,10090
Bos taurus,9913
Ovis aries,9940
Arabidopsis thaliana,3702
Bombyx mori,7091
Picea abies,3329
Oryza sativa,4530
Klebsiella pneumoniae,573
Aedes albopictus,7160
Canis lupus familiaris,9615
Phytophthora infestans,4787
Trypanosoma congolense,5692
Rattus norvegicus,10116
Gasterosteus aculeatus,69293
Saccharomyces cerevisiae,4932
Nanorchestidae,386820
Listeria monocytogenes,1639
Betula pendula,3505
Crassostrea gigas,29159
human nasopharyngeal metagenome,1131769
uncultured bacterium,77133
Seriola lalandi,302047
Cyprinus carpio,7962
Brachypodium distachyon,15368
Apis mellifera,7460
Cricetulus griseus,10029
Quercus petraea,38865
Musca domestica,7370
unidentified,32644
Helicoverpa armigera,29058
Danio rerio,7955
Gallus gallus,9031
Meleagris gallopavo,9103
Oryza sativa Japonica Group,39947
Triticum dicoccoides,85692
Apostichopus japonicus,307972
Anolis carolinensis,28377
uncultured fungus,175245
uncultured archaeon,115547
Brassica napus,3708
Oncorhynchus mykiss,8022
Calonectris leucomelas,79622
Citrobacter freundii,546
Proteus mirabilis,584
Proteus vulgaris,585
Klebsiella aerogenes,548
Morganella morganii,582
Aggregatibacter aphrophilus,732
Legionella jordanis,456
Rhodococcus rhodochrous,1829
Clostridium baratii,1561
Corynebacterium imitans,156978
Gardnerella vaginalis,2702
Prevotella oris,28135
Prevotella denticola,28129
Exiguobacterium aurantiacum,33987
Campylobacter coli,195
Porphyromonas endodontalis,28124
Propionibacterium freudenreichii subsp. shermanii,1752
Peptoniphilus harei,54005
Campylobacter hyointestinalis,198
Burkholderia cepacia,292
Trueperella pyogenes,1661
Mycobacterium chubuense,1800
Alloiococcus otitis,1652
Corynebacterium auriscanis,99807
Clostridium perfringens,1502
Moraxella caprae,90240
Corynebacterium cystitidis,35757
Pandoraea sputorum,93222
marine metagenome,408172
Leishmania donovani,5661
Picea purpurea,308687
Picea obovata,331118
Picea asperata var. aurantiaca,1935394
Picea brachytyla,308686
Picea sitchensis,3332
Picea omorika,3336
Picea wilsonii,162304
Picea torano,130229
Picea spinulosa,171229
Picea smithiana,123602
Picea schrenkiana,162307
Picea rubens,3333
Picea retroflexa,308684
Picea pungens,3331
Picea orientalis,224734
Picea chihuahuana,162305
Picea neoveitchii,369397
Picea meyeri,308681
Picea mexicana,39833
Picea maximowiczii,130227
Picea mariana,3335
Picea likiangensis,308677
Picea koyamae,130208
Picea koraiensis,308680
