TaxID	Lineage	Freq
164348	Streptomyces puniciscabiei	379
656024	Frankia symbiont of Datisca glomerata	248
1228987	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	87
648757	Rhodomicrobium vannielii ATCC 17100	81
351607	Acidothermus cellulolyticus 11B	80
656366	Arthrobacter alpinus	66
274493	Chlorobium/Pelodictyon group	64
121871	Haloterrigena	56
87882	Burkholderia cepacia complex	55
1883	Streptomyces	54
188786	Thermaceae	54
68214	Streptomyces griseochromogenes	50
2	Bacteria	49
29549	Rhodothermus marinus	43
1663	Arthrobacter	42
438753	Azorhizobium caulinodans ORS 571	36
2209	Methanosarcina mazei	35
366602	Caulobacter sp. K31	35
741155	Pseudomonas alcaliphila JAB1	35
1763	Mycobacterium	34
87883	Burkholderia multivorans	34
1082851	Comamonas serinivorans	34
1198114	Granulicella tundricola MP5ACTX9	31
682795	Granulicella mallensis MP5ACTX8	30
448385	Sorangium cellulosum So ce56	27
106592	Ensifer adhaerens	24
311403	Agrobacterium radiobacter K84	21
1398	Bacillus coagulans	19
208439	Amycolatopsis japonica	19
592316	Pantoea sp. At-9b	16
286	Pseudomonas	15
1926494	Paraburkholderia sp. SOS3	14
9606	Homo sapiens	13
147645	Paracoccus yeei	13
526225	Geodermatophilus obscurus DSM 43160	13
1224	Proteobacteria	12
1042878	Cupriavidus necator N-1	12
1085624	Persicobacter sp. JZB09	12
1771959	Arthrobacter sp. ATCC 21022	12
28450	Burkholderia pseudomallei	11
38300	Streptomyces pristinaespiralis	11
57665	Sulfurospirillum	11
1508404	Jeotgalibacillus malaysiensis	11
595593	Arthrobacter sp. A3	10
1112204	Gordonia polyisoprenivorans VH2	10
562	Escherichia coli	9
1661	Trueperella pyogenes	9
1760	Actinobacteria	9
28211	Alphaproteobacteria	9
83263	Aminobacter aminovorans	9
290400	Jannaschia sp. CCS1	9
395495	Leptothrix cholodnii SP-6	9
1204725	Methanobacterium formicicum DSM 3637	9
1227499	Natronolimnobius innermongolicus JCM 12255	9
48	Archangium gephyra	8
32008	Burkholderia	8
42253	Nitrospira moscoviensis	8
47763	Streptomyces lydicus	8
298653	Frankia sp. EAN1pec	8
