TaxID	Lineage	Freq
10116	Rattus norvegicus	7751458
314146	Euarchontoglires	1143972
131567	cellular organisms	42795
9606	Homo sapiens	40848
1	root	29778
948	Anaplasma phagocytophilum	13421
2041	Aeromicrobium erythreum	12708
243232	Methanocaldococcus jannaschii DSM 2661	9046
364745	Choristoneura occidentalis granulovirus	7604
573065	Asticcacaulis excentricus CB 48	2763
196118	Methanocaldococcus	1299
356	Rhizobiales	1110
2	Bacteria	628
1445510	Gynuella sunshinyii YC6258	533
31957	Propionibacteriaceae	467
28228	Colwellia	463
266117	Rubrobacter xylanophilus DSM 9941	443
11768	Feline leukemia virus	439
408	Methylobacterium extorquens	414
590745	Mus musculus mobilized endogenous polytropic provirus	409
1224	Proteobacteria	381
630626	Shimwellia blattae DSM 4481 = NBRC 105725	264
697329	Ruminococcus albus 7 = DSM 20455	262
1349410	Pandoravirus salinus	255
543	Enterobacteriaceae	236
526227	Meiothermus silvanus DSM 9946	218
1224162	Corynebacterium marinum DSM 44953	212
28211	Alphaproteobacteria	200
2182	Methanococcales	198
84292	Microbacterium chocolatum	162
1760	Actinobacteria	157
1449976	Kutzneria albida DSM 43870	151
272942	Rhodobacter capsulatus SB 1003	148
33910	Amycolatopsis mediterranei	139
106590	Cupriavidus necator	136
28453	Sphingobacterium	134
196117	Methanocaldococcaceae	133
1173026	Gloeocapsa sp. PCC 7428	133
1883	Streptomyces	128
1763	Mycobacterium	113
262324	Lysobacter gummosus	113
353210	Replication competent viruses	111
1229727	Thiobacimonas profunda	111
48	Archangium gephyra	108
294	Pseudomonas fluorescens	106
1334629	Myxococcus fulvus 124B02	106
91347	Enterobacterales	105
754409	Winogradskyella sp. PG-2	104
655015	Methylocystis bryophila	100
1841249	Streptomyces sp. RTd22	100
188937	Methanosarcina acetivorans C2A	99
1697053	Oblitimonas alkaliphila	99
656024	Frankia symbiont of Datisca glomerata	97
1297742	Myxococcus hansupus	93
1386	Bacillus	92
1838286	Lacunisphaera limnophila	91
660596	Pantoea stewartii subsp. stewartii DC283	89
93064	Sphingomonas koreensis	88
561304	Mycobacterium leprae Br4923	86
68249	Streptomyces pactum	85
1254432	Sorangium cellulosum So0157-2	83
222891	Neorickettsia sennetsu str. Miyayama	81
1632864	Planctomyces sp. SH-PL14	81
445710	Dyella thiooxydans	78
632772	Rhodococcus opacus B4	78
179408	Oscillatoria nigro-viridis PCC 7112	77
1697043	Bordetella sp. H567	73
286	Pseudomonas	72
10662	Myoviridae	71
38300	Streptomyces pristinaespiralis	71
68214	Streptomyces griseochromogenes	69
448385	Sorangium cellulosum So ce56	69
878220	Chryseobacterium sp. StRB126	67
115808	Bradyrhizobium sp. ORS 285	66
1173022	Crinalium epipsammum PCC 9333	65
1715989	Candidatus Nitrospira inopinata	65
1909395	Nonomuraea sp. ATCC 55076	65
1555112	Limnochorda pilosa	64
985762	Staphylococcus agnetis	63
1117647	Simiduia agarivorans SA1 = DSM 21679	62
1795631	Variovorax sp. PAMC 28711	61
204457	Sphingomonadales	60
1230341	Salimicrobium jeotgali	59
349221	Micavibrio aeruginosavorus	58
326424	Frankia alni ACN14a	57
483547	Geoalkalibacter subterraneus	57
1795630	Frondihabitans sp. PAMC 28766	57
585425	Synechococcus sp. KORDI-52	55
340	Xanthomonas campestris pv. campestris	54
47763	Streptomyces lydicus	54
270	Thermus	53
269800	Thermobifida fusca YX	52
713585	Thioalkalivibrio paradoxus ARh 1	52
1827	Rhodococcus	51
35237	dsDNA viruses, no RNA stage	51
396588	Thioalkalivibrio sulfidiphilus HL-EbGr7	51
446470	Stackebrandtia nassauensis DSM 44728	51
44249	Paenibacillus	50
45667	Halobacillus	50
1604004	Halanaeroarchaeum sulfurireducens	50
338	Xanthomonas	49
391037	Salinispora arenicola CNS-205	48
22	Shewanella	47
12916	Acidovorax	47
165695	Sphingobium	47
198107	Azoarcus sp. CIB	47
216142	Pseudomonas rhizosphaerae	47
983917	Rubrivivax gelatinosus IL144	46
1652495	Corynebacterium crudilactis	46
288000	Bradyrhizobium sp. BTAi1	45
595494	Tolumonas auensis DSM 9187	45
31989	Rhodobacteraceae	44
198620	Pseudomonas koreensis	44
425104	Shewanella sediminis HAW-EB3	44
672	Vibrio vulnificus	43
1126	Microcystis aeruginosa	43
54571	Streptomyces venezuelae	43
1030157	Sphingomonas sp. KC8	43
1223566	Bradyrhizobium sp. CCGE-LA001	43
1526658	Bosea vaviloviae	43
1858609	Acidovorax sp. T1	43
1891926	Fuerstia marisgermanicae	43
221109	Oceanobacillus iheyensis HTE831	42
326427	Chloroflexus aggregans DSM 9485	42
1110502	Tistrella mobilis KA081020-065	42
1150468	Scardovia inopinata JCM 12537	42
1298	Deinococcus	41
1569	Sporosarcina	41
29341	Clostridium argentinense	41
49546	Flavobacteriaceae	41
68288	Cyclobacterium	41
269799	Geobacter metallireducens GS-15	41
452652	Kitasatospora setae KM-6054	41
455632	Streptomyces griseus subsp. griseus NBRC 13350	41
287	Pseudomonas aeruginosa	40
11801	Moloney murine leukemia virus	40
298654	Frankia inefficax	40
83554	Chlamydia psittaci	39
1729720	Salegentibacter sp. T436	39
1279	Staphylococcus	38
1575	Leifsonia xyli	38
572544	Ilyobacter polytropus DSM 2926	38
743718	Isoptericola variabilis 225	38
1111069	Thermus sp. CCB_US3_UF1	38
222	Achromobacter	37
262	Francisella	37
635	Edwardsiella	37
1236	Gammaproteobacteria	37
87882	Burkholderia cepacia complex	37
246200	Ruegeria pomeroyi DSS-3	37
649831	Actinoplanes sp. N902-109	37
1758689	Serinicoccus sp. JLT9	37
80865	Delftia	36
653045	Streptomyces violaceusniger Tu 4113	36
1423	Bacillus subtilis	35
177437	Desulfobacterium autotrophicum HRM2	35
305	Ralstonia solanacearum	34
794903	Opitutaceae bacterium TAV5	34
926562	Owenweeksia hongkongensis DSM 17368	34
1286528	Neorickettsia helminthoeca str. Oregon	34
1357915	Arthrobacter sp. QXT-31	34
1725411	Streptomyces sp. CdTB01	34
