TaxID	Lineage	Freq
10116	Rattus norvegicus	300391
314146	Euarchontoglires	91310
1	root	88639
9606	Homo sapiens	63176
131567	cellular organisms	13806
497	Psychrobacter	11526
2	Bacteria	10082
1747	Cutibacterium acnes	9874
31957	Propionibacteriaceae	6325
2285	Sulfolobus acidocaldarius	5950
1224	Proteobacteria	5494
465515	Micrococcus luteus NCTC 2665	3225
1760	Actinobacteria	2758
270	Thermus	2258
1236	Gammaproteobacteria	1899
743525	Thermus scotoductus SA-01	1892
468	Moraxellaceae	1777
119060	Burkholderiaceae	1713
1349410	Pandoravirus salinus	1631
1912216	Cutibacterium	1509
338	Xanthomonas	1459
80840	Burkholderiales	1452
34062	Moraxella osloensis	1217
28211	Alphaproteobacteria	1113
32008	Burkholderia	1071
469	Acinetobacter	1034
339	Xanthomonas campestris	993
28216	Betaproteobacteria	962
286	Pseudomonas	908
419435	Glypta fumiferanae ichnovirus	895
1716	Corynebacterium	760
356	Rhizobiales	632
374	Bradyrhizobium	613
1783272	Terrabacteria group	610
45610	Psychrobacter urativorans	585
262722	Mycoplasma hyopneumoniae 7448	580
80864	Comamonadaceae	577
1028416	Psychrobacter sp. DAB_AL43B	575
543	Enterobacteriaceae	558
1720344	Psychrobacter sp. AntiMn-1	510
32033	Xanthomonadaceae	486
222	Achromobacter	481
1301	Streptococcus	467
322019	Acanthocystis turfacea Chlorella virus 1	438
976	Bacteroidetes	431
188786	Thermaceae	431
85006	Micrococcales	420
261164	Psychrobacter alimentarius	414
340	Xanthomonas campestris pv. campestris	398
407	Methylobacterium	392
2093	Mycoplasma	377
485	Neisseria gonorrhoeae	361
106370	Frankia casuarinae	355
570	Klebsiella	343
41294	Bradyrhizobiaceae	342
1268	Micrococcaceae	334
35237	dsDNA viruses, no RNA stage	331
87882	Burkholderia cepacia complex	319
103817	Janibacter terrae	295
259536	Psychrobacter arcticus 273-4	291
179408	Oscillatoria nigro-viridis PCC 7112	287
362976	Haloquadratum walsbyi DSM 16790	285
13687	Sphingomonas	280
41297	Sphingomonadaceae	262
693979	Bacteroides helcogenes P 36-108	262
265522	Hyposoter fugitivus ichnovirus	259
12916	Acidovorax	257
49546	Flavobacteriaceae	255
71999	Kocuria palustris	245
506	Alcaligenaceae	243
1385	Bacillales	240
33882	Microbacterium	237
316	Pseudomonas stutzeri	235
1827	Rhodococcus	233
28450	Burkholderia pseudomallei	219
1883	Streptomyces	218
1763	Mycobacterium	217
204457	Sphingomonadales	213
1267562	Cupriavidus gilardii CR3	211
349106	Psychrobacter sp. PRwf-1	210
1358	Lactococcus lactis	203
1324957	Candidatus Halobonum tyrrellensis G22	201
1279	Staphylococcus	199
40215	Acinetobacter junii	199
40323	Stenotrophomonas	198
46021	Paramecium bursaria Chlorella virus NY2A	192
31989	Rhodobacteraceae	191
85413	Bosea	191
1578	Lactobacillus	190
1359	Lactococcus lactis subsp. cremoris	189
1349409	Pandoravirus dulcis	188
85007	Corynebacteriales	187
274	Thermus thermophilus	180
1804984	Burkholderia sp. OLGA172	178
75906	Thermocrinis ruber	172
85023	Microbacteriaceae	168
1564114	Rhodococcus sp. B7740	166
147645	Paracoccus yeei	162
287	Pseudomonas aeruginosa	157
544580	Actinomyces oris	157
106590	Cupriavidus necator	155
89966	Hymenobacter	154
85698	Achromobacter xylosoxidans	148
571800	Psychrobacter sp. G	146
1249662	Burkholderia thailandensis E444	145
43675	Rothia mucilaginosa	142
29385	Staphylococcus saprophyticus	139
1606016	Elizabethkingia endophytica	139
91347	Enterobacterales	138
134537	Paraburkholderia fungorum	137
266940	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	135
1699624	Psychrobacter sp. P11G5	135
75682	Oxalobacteraceae	133
2745	Halomonas	128
1528099	Lawsonella clevelandensis	128
135614	Xanthomonadales	127
146015	Elephantid betaherpesvirus 1	127
1605721	Pandoravirus inopinatum	127
106589	Cupriavidus	126
1903686	Jeotgalibaca sp. PTS2502	126
480	Moraxella catarrhalis	125
1547283	Bacillus weihaiensis	124
75105	Paraburkholderia caribensis	123
201174	Actinobacteria	118
335284	Psychrobacter cryohalolentis K5	117
48736	Ralstonia	114
135621	Pseudomonadaceae	112
547559	Natrialba magadii ATCC 43099	110
798128	Thermus thermophilus JL-18	110
1487956	Corynebacterium sp. ATCC 6931	110
358220	Acidovorax sp. KKS102	108
1575	Leifsonia xyli	107
482	Neisseria	106
312540	Acidiplasma cupricumulans	106
76123	Prevotella enoeca	105
1239	Firmicutes	104
671223	Propionibacterium sp. oral taxon 193	104
68287	Mesorhizobium	103
34085	Riemerella anatipestifer	102
39960	Erythrobacter litoralis	100
41275	Brevundimonas	100
32011	Methylophilaceae	98
72274	Pseudomonadales	96
227290	Rhizobium/Agrobacterium group	96
413882	[Polyangium] brachysporum	96
460265	Methylobacterium nodulans ORS 2060	96
1926494	Paraburkholderia sp. SOS3	95
702967	Corynebacterium sp. NML98-0116	94
91061	Bacilli	93
40324	Stenotrophomonas maltophilia	92
186826	Lactobacillales	92
667015	Bacteroides salanitronis DSM 18170	92
165695	Sphingobium	91
1312524	Thermus sp. WG	91
1032480	Microlunatus phosphovorus NM-1	90
1112204	Gordonia polyisoprenivorans VH2	90
334413	Finegoldia magna ATCC 29328	89
67082	BeAn 58058 virus	88
111527	pseudomallei group	88
224471	Burkholderiales Genera incertae sedis	87
1536771	Paenibacillus sp. FSL R5-0912	86
1449978	Burkholderia vietnamiensis LMG 10929	83
1644061	Natrialbaceae	83
52	Chondromyces crocatus	82
237	Flavobacterium	82
2371	Xylella fastidiosa	82
762633	Thermus thermophilus SG0.5JP17-16	82
1228997	Riemerella anatipestifer RA-CH-1	81
1263761	Mycoplasma pneumoniae 39443	81
1117	Cyanobacteria	80
546271	Selenomonas sputigena ATCC 35185	80
860235	Kibdelosporangium phytohabitans	80
1045858	Brachyspira intermedia PWS/A	80
1986952	Sphingobacteriaceae bacterium GW460-11-11-14-LB5	80
158500	Novosphingobium resinovorum	79
395495	Leptothrix cholodnii SP-6	79
645127	Corynebacterium kroppenstedtii DSM 44385	79
2207	Methanosarcina	78
588932	Brevundimonas naejangsanensis	78
43771	Corynebacterium urealyticum	76
1434111	Methanosarcina lacustris Z-7289	76
94132	Ramlibacter tataouinensis	75
68249	Streptomyces pactum	74
482462	Mycobacterium sp. PH-06	74
1678028	Massilia sp. NR 4-1	74
838	Prevotella	73
435897	Lysobacter capsici	73
656366	Arthrobacter alpinus	72
1842540	Methyloversatilis sp. RAC08	72
1906742	Microbacterium sp. BH-3-3-3	72
149698	Massilia	71
502025	Haliangium ochraceum DSM 14365	71
529884	Rhodoluna lacicola	71
294	Pseudomonas fluorescens	70
1179773	Saccharothrix espanaensis DSM 44229	70
1776294	Nitrosopumilus sp. Nsub	70
487	Neisseria meningitidis	69
511	Alcaligenes faecalis	69
29466	Veillonella parvula	69
48	Archangium gephyra	68
1630693	Gemmata sp. SH-PL17	68
29580	Janthinobacterium	67
401472	Corynebacterium ureicelerivorans	67
404583	Micrococcus sp. A1	67
1715989	Candidatus Nitrospira inopinata	67
498848	Thermus aquaticus Y51MC23	66
76892	Caulobacteraceae	65
515619	[Eubacterium rectale] ATCC 33656	65
1847	Pseudonocardia	64
85009	Propionibacteriales	64
135622	Alteromonadales	64
1560345	Sphingomonas panacis	64
265	Paracoccus	63
755732	Fluviicola taffensis DSM 16823	63
1227454	Halobiforma nitratireducens JCM 10879	63
84566	Sphingobacteriaceae	62
517	Bordetella	61
963	Herbaspirillum	59
1894	Streptomyces aureofaciens	59
54571	Streptomyces venezuelae	59
153135	Gammaretrovirus	59
452652	Kitasatospora setae KM-6054	59
1387353	Paludisphaera borealis	59
1909732	Tessaracoccus sp. T2.5-30	59
1283	Staphylococcus haemolyticus	58
165696	Novosphingobium	58
22	Shewanella	57
47885	Pseudomonas oryzihabitans	57
56956	Thermus brockianus	57
760011	Sphaerochaeta coccoides DSM 17374	57
1549858	Sphingomonas taxi	57
272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	56
112	Planctomycetales	55
1318	Streptococcus parasanguinis	55
575540	Isosphaera pallida ATCC 43644	55
694427	Paludibacter propionicigenes WB4	55
1028989	Pseudomonas sp. StFLB209	55
1408281	Endomicrobium proavitum	55
1658665	Mitsuaria sp. 7	55
1269	Micrococcus	54
10699	Siphoviridae	54
80865	Delftia	54
366602	Caulobacter sp. K31	54
429009	Ammonifex degensii KC4	54
1822464	Paraburkholderia	54
126	Planctomycetaceae	53
186817	Bacillaceae	53
190721	Ralstonia insidiosa	53
1211326	Spirosoma aerolatum	53
1242245	Acinetobacter johnsonii XBB1	53
1254432	Sorangium cellulosum So0157-2	53
441620	Methylobacterium populi BJ001	52
640081	Dechlorosoma suillum PS	52
475	Moraxella	51
1300	Streptococcaceae	51
33010	Cutibacterium avidum	51
171549	Bacteroidales	51
1699622	Psychrobacter sp. P2G3	51
1795631	Variovorax sp. PAMC 28711	51
1303	Streptococcus oralis	50
188787	Deinococci	50
196162	Nocardioides sp. JS614	50
472569	Devriesea agamarum	50
909768	Acinetobacter calcoaceticus/baumannii complex	50
158899	Collimonas fungivorans	49
234267	Candidatus Solibacter usitatus Ellin6076	48
990315	Xanthomonas campestris pv. raphani 756C	48
1123269	Sphingomonas sanxanigenens DSM 19645 = NX02	48
1274631	Bradyrhizobium icense	48
376	Bradyrhizobium sp.	47
851	Fusobacterium nucleatum	47
1548547	Woeseia oceani	47
96561	Desulfococcus oleovorans Hxd3	46
364745	Choristoneura occidentalis granulovirus	46
553174	Prevotella melaninogenica ATCC 25845	46
583345	Methylotenera mobilis JLW8	46
1484116	Hymenobacter sp. PAMC 26554	46
1654	Actinomyces	45
34073	Variovorax paradoxus	45
43658	Pseudoalteromonas rubra	45
156978	Corynebacterium imitans	45
465541	Streptomyces sp. Mg1	45
1009846	Burkholderia cepacia GG4	45
1123519	Pseudomonas stutzeri DSM 10701	45
642	Aeromonas	44
1888	Streptomyces albus	44
420662	Methylibium petroleiphilum PM1	44
548479	Mobiluncus curtisii ATCC 43063	44
946333	Rhizobacter gummiphilus	44
1288494	Nitrosospira lacus	44
317655	Sphingopyxis alaskensis RB2256	43
935897	Haemophilus influenzae F3047	43
375	Bradyrhizobium japonicum	42
1705	Corynebacterium stationis	42
36805	Microbacterium aurum	42
119065	unclassified Burkholderiales	42
181082	Emiliania huxleyi virus 86	42
189425	Paenibacillus graminis	42
316273	Xanthomonas campestris pv. vesicatoria str. 85-10	42
373994	Rivularia sp. PCC 7116	42
456320	Methanococcus voltae A3	42
548914	Elephant endotheliotropic herpesvirus 4	42
1033837	Lactobacillus kefiranofaciens ZW3	42
1355477	Bradyrhizobium diazoefficiens	42
1455062	Riemerella anatipestifer Yb2	42
1678128	Limnohabitans sp. 63ED37-2	42
425104	Shewanella sediminis HAW-EB3	41
621456	Sphingomonas melonis TY	41
926566	Terriglobus roseus DSM 18391	41
1437605	Bifidobacterium actinocoloniiforme DSM 22766	41
1282	Staphylococcus epidermidis	40
68336	Bacteroidetes/Chlorobi group	40
194963	Sinorhizobium americanum	40
543728	Variovorax paradoxus S110	40
573065	Asticcacaulis excentricus CB 48	40
649756	Anaerostipes hadrus	40
1141883	Massilia putida	40
986	Flavobacterium johnsoniae	39
76731	Roseateles depolymerans	39
136843	Pseudomonas fluorescens group	39
318586	Paracoccus denitrificans PD1222	39
450851	Phenylobacterium zucineum HLK1	39
479432	Streptosporangium roseum DSM 43021	39
1254439	Bifidobacterium thermophilum RBL67	39
1795053	Microbacterium sp. PAMC 28756	39
1827469	Brevundimonas sp. GW460-12-10-14-LB2	39
1912	Streptomyces hygroscopicus	38
272558	Bacillus halodurans C-125	38
323850	Shewanella loihica PV-4	38
446041	Thermus sp. 4C	38
482957	Burkholderia lata	38
1235591	Pseudorhodoplanes sinuspersici	38
1962264	Halomonas sp. 'Soap Lake 	38
1985873	Sulfuriferula sp. AH1	38
33888	Rathayibacter tritici	37
82115	Rhizobiaceae	37
166122	Human endogenous retrovirus K113	37
204773	Herminiimonas arsenicoxydans	37
295405	Bacteroides fragilis YCH46	37
384676	Pseudomonas entomophila L48	37
499555	Dietzia timorensis	37
526225	Geodermatophilus obscurus DSM 43160	37
697329	Ruminococcus albus 7 = DSM 20455	37
867902	Ornithobacterium rhinotracheale DSM 15997	37
882378	Paraburkholderia rhizoxinica HKI 454	37
1236179	Janthinobacterium sp. B9-8	37
1987723	Cellvibrio sp. PSBB006	37
529	Ochrobactrum anthropi	36
93217	Pandoraea	36
95486	Burkholderia cenocepacia	36
244366	Klebsiella variicola	36
358396	Halobiforma lacisalsi AJ5	36
463025	Bordetella bronchialis	36
511062	Oceanimonas sp. GK1	36
1407071	Acinetobacter sp. TGL-Y2	36
1678129	Limnohabitans sp. 103DPR2	36
1909395	Nonomuraea sp. ATCC 55076	36
490	Neisseria sicca	35
1579	Lactobacillus acidophilus	35
28072	Nostoc sp. PCC 7524	35
45989	Methanoculleus	35
1278073	Myxococcus stipitatus DSM 14675	35
1796616	Blautia sp. YL58	35
1940	Streptomyces albireticuli	34
59732	Chryseobacterium	34
63742	Natrialba	34
290399	Arthrobacter sp. FB24	34
298653	Frankia sp. EAN1pec	34
298654	Frankia inefficax	34
419475	Ochrobactrum pseudogrignonense	34
446465	Brachybacterium faecium DSM 4810	34
563835	Chitinophagaceae	34
1194526	Staphylococcus warneri SG1	34
1306519	Flavobacterium sp. PK15	34
1415773	Mycoplasma ovis str. Michigan	34
1503054	Burkholderia stagnalis	34
1532555	Brevundimonas sp. DS20	34
562	Escherichia coli	33
727	Haemophilus influenzae	33
1357	Lactococcus	33
32002	Achromobacter denitrificans	33
