TaxID	Lineage	Freq
656024	Frankia symbiont of Datisca glomerata	896
2263	Thermococcus	644
380021	Pseudomonas protegens	140
274493	Chlorobium/Pelodictyon group	126
648757	Rhodomicrobium vannielii ATCC 17100	117
366602	Caulobacter sp. K31	107
188786	Thermaceae	88
121871	Haloterrigena	81
2	Bacteria	68
656366	Arthrobacter alpinus	67
682795	Granulicella mallensis MP5ACTX8	58
1663	Arthrobacter	57
40222	Methylophaga	49
2157	Archaea	43
1883	Streptomyces	40
1771959	Arthrobacter sp. ATCC 21022	39
1228987	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	36
448385	Sorangium cellulosum So ce56	33
1334629	Myxococcus fulvus 124B02	32
147645	Paracoccus yeei	31
1763	Mycobacterium	29
1249661	Burkholderia thailandensis MSMB121	29
1224	Proteobacteria	27
10116	Rattus norvegicus	27
1032480	Microlunatus phosphovorus NM-1	27
77643	Mycobacterium tuberculosis complex	26
131567	cellular organisms	26
438753	Azorhizobium caulinodans ORS 571	26
29549	Rhodothermus marinus	24
741155	Pseudomonas alcaliphila JAB1	23
9606	Homo sapiens	22
1085624	Persicobacter sp. JZB09	22
246197	Myxococcus xanthus DK 1622	20
1926494	Paraburkholderia sp. SOS3	20
1760	Actinobacteria	19
1796613	Bacteroides caecimuris	19
2034	Curtobacterium	17
216595	Pseudomonas fluorescens SBW25	17
285473	Streptomyces rubrolavendulae	17
48	Archangium gephyra	16
926	Thiomonas intermedia	15
237610	Pseudomonas psychrotolerans	15
573370	Desulfovibrio magneticus RS-1	15
1508404	Jeotgalibacillus malaysiensis	15
286	Pseudomonas	14
1603606	Desulfuromonas soudanensis	14
1827	Rhodococcus	13
2053	Gordonia	13
68214	Streptomyces griseochromogenes	13
87882	Burkholderia cepacia complex	13
1207504	Burkholderia pseudomultivorans	13
316	Pseudomonas stutzeri	12
79883	Bacillus horikoshii	12
32008	Burkholderia	11
311403	Agrobacterium radiobacter K84	11
702967	Corynebacterium sp. NML98-0116	11
1144275	Corallococcus coralloides DSM 2259	11
1245469	Bradyrhizobium oligotrophicum S58	11
1644061	Natrialbaceae	11
1795043	Burkholderia sp. PAMC 26561	11
452637	Opitutus terrae PB90-1	10
595593	Arthrobacter sp. A3	10
