TaxID	Lineage	Freq
164348	Streptomyces puniciscabiei	390
351607	Acidothermus cellulolyticus 11B	230
656024	Frankia symbiont of Datisca glomerata	205
29549	Rhodothermus marinus	77
656366	Arthrobacter alpinus	70
188786	Thermaceae	68
648757	Rhodomicrobium vannielii ATCC 17100	68
1228987	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	60
87882	Burkholderia cepacia complex	53
121871	Haloterrigena	52
1198114	Granulicella tundricola MP5ACTX9	50
274493	Chlorobium/Pelodictyon group	48
1663	Arthrobacter	45
68214	Streptomyces griseochromogenes	45
2	Bacteria	44
741155	Pseudomonas alcaliphila JAB1	40
32008	Burkholderia	32
1883	Streptomyces	30
1760	Actinobacteria	25
1763	Mycobacterium	24
87883	Burkholderia multivorans	23
438753	Azorhizobium caulinodans ORS 571	22
2209	Methanosarcina mazei	21
208439	Amycolatopsis japonica	21
448385	Sorangium cellulosum So ce56	18
1082851	Comamonas serinivorans	17
286	Pseudomonas	15
1224	Proteobacteria	15
1783515	Streptomyces sp. S10(2016)	15
1926494	Paraburkholderia sp. SOS3	15
1398	Bacillus coagulans	13
31989	Rhodobacteraceae	12
290400	Jannaschia sp. CCS1	12
1771959	Arthrobacter sp. ATCC 21022	12
57665	Sulfurospirillum	11
106592	Ensifer adhaerens	11
446462	Actinosynnema mirum DSM 43827	11
10116	Rattus norvegicus	10
38300	Streptomyces pristinaespiralis	10
1042878	Cupriavidus necator N-1	10
1204725	Methanobacterium formicicum DSM 3637	10
1690815	Pseudonocardia sp. HH130630-07	10
9606	Homo sapiens	9
54571	Streptomyces venezuelae	9
311403	Agrobacterium radiobacter K84	9
479433	Catenulispora acidiphila DSM 44928	9
682795	Granulicella mallensis MP5ACTX8	9
1121362	Corynebacterium halotolerans YIM 70093 = DSM 44683	9
1449976	Kutzneria albida DSM 43870	9
270351	Methylobacterium aquaticum	8
326424	Frankia alni ACN14a	8
712122	Actinomyces sp. oral taxon 414	8
743718	Isoptericola variabilis 225	8
1110502	Tistrella mobilis KA081020-065	8
1161927	Pseudomonas phage Lu11	8
1324931	Pseudomonas syringae pv. syringae B301D	8
1879023	Mycobacterium sp. djl-10	8
32	Myxococcus	7
52	Chondromyces crocatus	7
2157	Archaea	7
83263	Aminobacter aminovorans	7
131567	cellular organisms	7
298653	Frankia sp. EAN1pec	7
675635	Pseudonocardia dioxanivorans CB1190	7
1227499	Natronolimnobius innermongolicus JCM 12255	7
1334629	Myxococcus fulvus 124B02	7
1603606	Desulfuromonas soudanensis	7
1630693	Gemmata sp. SH-PL17	7
1644061	Natrialbaceae	7
1783272	Terrabacteria group	7
562	Escherichia coli	6
1847	Pseudonocardia	6
28211	Alphaproteobacteria	6
28450	Burkholderia pseudomallei	6
43988	Cyanothece	6
82115	Rhizobiaceae	6
111527	pseudomallei group	6
177439	Desulfotalea psychrophila LSv54	6
252514	Microbulbifer thermotolerans	6
285473	Streptomyces rubrolavendulae	6
292415	Thiobacillus denitrificans ATCC 25259	6
298654	Frankia inefficax	6
383372	Roseiflexus castenholzii DSM 13941	6
426117	Methylobacterium sp. 4-46	6
745310	Sphingomonas sp. MM-1	6
