TaxID	Lineage	Freq
10116	Rattus norvegicus	1731343
314146	Euarchontoglires	1456065
1	root	38939
9606	Homo sapiens	28552
131567	cellular organisms	23747
364745	Choristoneura occidentalis granulovirus	16297
2100	Mycoplasma hyorhinis	5033
2041	Aeromicrobium erythreum	1624
374840	Enterobacteria phage phiX174 sensu lato	1424
286	Pseudomonas	1173
272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	976
2194	Methanomicrobiaceae	654
37296	Human gammaherpesvirus 8	545
2	Bacteria	473
356	Rhizobiales	447
1114970	Pseudomonas fluorescens F113	397
2115	Mycoplasma fermentans	358
2093	Mycoplasma	342
948	Anaplasma phagocytophilum	273
1760	Actinobacteria	242
872331	Mycoplasma hyorhinis HUB-1	187
388950	Pontibacter akesuensis	183
1224	Proteobacteria	127
1445510	Gynuella sunshinyii YC6258	119
1889	Streptomyces ambofaciens	118
435897	Lysobacter capsici	97
11768	Feline leukemia virus	91
31957	Propionibacteriaceae	87
573	Klebsiella pneumoniae	84
31989	Rhodobacteraceae	83
1715989	Candidatus Nitrospira inopinata	83
1236	Gammaproteobacteria	80
543	Enterobacteriaceae	78
1883	Streptomyces	68
294	Pseudomonas fluorescens	67
573065	Asticcacaulis excentricus CB 48	67
165695	Sphingobium	64
106590	Cupriavidus necator	63
749414	Streptomyces bingchenggensis BCW-1	61
1783272	Terrabacteria group	59
590745	Mus musculus mobilized endogenous polytropic provirus	46
135621	Pseudomonadaceae	39
1543721	Sedimenticola thiotaurini	38
2371	Xylella fastidiosa	37
11786	Murine leukemia virus	36
943945	Mycoplasma fermentans M64	36
222891	Neorickettsia sennetsu str. Miyayama	34
255247	Fictibacillus arsenicus	34
598659	Nautilia profundicola AmH	33
637387	Mycoplasma fermentans JER	33
930166	Pseudomonas brassicacearum	33
1678028	Massilia sp. NR 4-1	33
36805	Microbacterium aurum	32
35237	dsDNA viruses, no RNA stage	29
445710	Dyella thiooxydans	27
75105	Paraburkholderia caribensis	26
878220	Chryseobacterium sp. StRB126	26
1408224	Sinorhizobium americanum CCGM7	26
338969	Rhodoferax ferrireducens T118	25
87882	Burkholderia cepacia complex	24
595494	Tolumonas auensis DSM 9187	24
686597	Martelella sp. AD-3	24
710421	Mycobacterium chubuense NBB4	24
52	Chondromyces crocatus	22
28211	Alphaproteobacteria	22
1763	Mycobacterium	21
396588	Thioalkalivibrio sulfidiphilus HL-EbGr7	20
448385	Sorangium cellulosum So ce56	20
455632	Streptomyces griseus subsp. griseus NBRC 13350	20
75906	Thermocrinis ruber	19
1663	Arthrobacter	18
91347	Enterobacterales	18
710696	Intrasporangium calvum DSM 43043	18
2045	Pimelobacter simplex	17
28095	Burkholderia gladioli	17
326427	Chloroflexus aggregans DSM 9485	17
425104	Shewanella sediminis HAW-EB3	17
593907	Cellulomonas gilvus ATCC 13127	17
936139	Mycoplasma hyorhinis MCLD	17
1227466	Halorubrum coriense DSM 10284	17
1841249	Streptomyces sp. RTd22	17
1334629	Myxococcus fulvus 124B02	16
546	Citrobacter freundii	15
266940	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	15
300019	Microbacterium paludicola	15
318167	Shewanella frigidimarina NCIMB 400	15
1254432	Sorangium cellulosum So0157-2	15
1697043	Bordetella sp. H567	15
28197	Arcobacter butzleri	14
32008	Burkholderia	14
33910	Amycolatopsis mediterranei	14
85698	Achromobacter xylosoxidans	14
208439	Amycolatopsis japonica	14
298654	Frankia inefficax	14
353210	Replication competent viruses	14
875328	Mycobacterium sinense	14
1909395	Nonomuraea sp. ATCC 55076	14
1847	Pseudonocardia	13
1888	Streptomyces albus	13
31969	Mollicutes	13
420662	Methylibium petroleiphilum PM1	13
1550241	Thermofilum uzonense	13
1586713	Yellowstone lake phycodnavirus 1	13
338	Xanthomonas	12
12916	Acidovorax	12
53707	Pseudomonas amygdali pv. lachrymans	12
111781	Leptolyngbya sp. PCC 7376	12
136843	Pseudomonas fluorescens group	12
230356	Methanolacinia paynteri	12
307461	Apocheima cinerarium nucleopolyhedrovirus	12
331113	Simkania negevensis Z	12
353212	Mammalian gammaretrovirus group	12
476157	Altererythrobacter ishigakiensis	12
526225	Geodermatophilus obscurus DSM 43160	12
1300347	Nocardioides dokdonensis FR1436	12
1349410	Pandoravirus salinus	12
1470434	Zhongshania aliphaticivorans	12
83332	Mycobacterium tuberculosis H37Rv	11
103817	Janibacter terrae	11
179408	Oscillatoria nigro-viridis PCC 7112	11
243233	Methylococcus capsulatus str. Bath	11
314260	Parvularcula bermudensis HTCC2503	11
572544	Ilyobacter polytropus DSM 2926	11
640511	Burkholderia sp. CCGE1002	11
1387353	Paludisphaera borealis	11
1561022	Streptomyces sp. CCM_MD2014	11
1630693	Gemmata sp. SH-PL17	11
738	[Haemophilus] parasuis	10
1716	Corynebacterium	10
1747	Cutibacterium acnes	10
2237	Haloarcula	10
156889	Magnetococcus marinus MC-1	10
193462	Streptomyces niveus	10
234612	Streptomyces sp. TN58	10
452652	Kitasatospora setae KM-6054	10
479435	Kribbella flavida DSM 17836	10
661410	Methylobacterium extorquens DM4	10
794903	Opitutaceae bacterium TAV5	10
1041522	Mycobacterium colombiense CECT 3035	10
1117647	Simiduia agarivorans SA1 = DSM 21679	10
1141883	Massilia putida	10
1300342	Dokdonella koreensis DS-123	10
1390395	Sphingomonas sp. LK11	10
1915078	Thioclava nitratireducens	10
48	Archangium gephyra	9
562	Escherichia coli	9
642	Aeromonas	9
45243	Capnocytophaga haemolytica	9
49546	Flavobacteriaceae	9
53336	Tatumella citrea	9
80865	Delftia	9
84292	Microbacterium chocolatum	9
106370	Frankia casuarinae	9
190893	Vibrio coralliilyticus	9
292564	Cyanobium gracile PCC 6307	9
521674	Planctopirus limnophila DSM 3776	9
571913	Luteipulveratus mongoliensis	9
633147	Olsenella uli DSM 7084	9
756883	halophilic archaeon DL31	9
926570	Acidiphilium multivorum AIU301	9
983917	Rubrivivax gelatinosus IL144	9
1030157	Sphingomonas sp. KC8	9
1110502	Tistrella mobilis KA081020-065	9
1661694	Streptomyces sp. Tue 6075	9
192	Azospirillum brasilense	8
374	Bradyrhizobium	8
379	Rhizobium	8
943	Ehrlichia	8
976	Bacteroidetes	8
2207	Methanosarcina	8
11840	Gibbon ape leukemia virus	8
12960	Azoarcus	8
37329	Nocardia farcinica	8
47763	Streptomyces lydicus	8
80864	Comamonadaceae	8
272942	Rhodobacter capsulatus SB 1003	8
292913	Sphingopyxis sp. 113P3	8
446470	Stackebrandtia nassauensis DSM 44728	8
452637	Opitutus terrae PB90-1	8
526227	Meiothermus silvanus DSM 9946	8
591019	Staphylothermus hellenicus DSM 12710	8
638303	Thermocrinis albus DSM 14484	8
656024	Frankia symbiont of Datisca glomerata	8
1179773	Saccharothrix espanaensis DSM 44229	8
1408281	Endomicrobium proavitum	8
1538644	Sphingobacterium sp. ML3W	8
1619308	Cnuibacter physcomitrellae	8
222	Achromobacter	7
287	Pseudomonas aeruginosa	7
316	Pseudomonas stutzeri	7
818	Bacteroides thetaiotaomicron	7
964	Herbaspirillum seropedicae	7
1827	Rhodococcus	7
11801	Moloney murine leukemia virus	7
28450	Burkholderia pseudomallei	7
54571	Streptomyces venezuelae	7
62928	Azoarcus sp. BH72	7
68173	Streptomyces albolongus	7
94132	Ramlibacter tataouinensis	7
146923	Streptomyces parvulus	7
329726	Acaryochloris marina MBIC11017	7
337191	Gordonia sp. KTR9	7
338217	Leptospira borgpetersenii serovar Hardjo-bovis	7
351607	Acidothermus cellulolyticus 11B	7
388919	Streptococcus sanguinis SK36	7
460265	Methylobacterium nodulans ORS 2060	7
481743	Paenibacillus sp. Y412MC10	7
649831	Actinoplanes sp. N902-109	7
697329	Ruminococcus albus 7 = DSM 20455	7
797114	Halosimplex carlsbadense 2-9-1	7
857087	Methylomonas methanica MC09	7
945713	Ignavibacterium album JCM 16511	7
1111069	Thermus sp. CCB_US3_UF1	7
1129794	Paraglaciecola psychrophila 170	7
1144275	Corallococcus coralloides DSM 2259	7
1229727	Thiobacimonas profunda	7
1494608	Arthrobacter sp. PAMC 25486	7
1586287	Lentzea guizhouensis	7
1644061	Natrialbaceae	7
1796616	Blautia sp. YL58	7
1849032	Arthrobacter sp. U41	7
1891767	Macaca mulatta polyomavirus 1	7
337	Burkholderia glumae	6
613	Serratia	6
635	Edwardsiella	6
672	Vibrio vulnificus	6
901	Desulfovibrio piger	6
1301	Streptococcus	6
1386	Bacillus	6
1590	Lactobacillus plantarum	6
1873	Micromonospora	6
33059	Acidithiobacillus caldus	6
40323	Stenotrophomonas	6
47879	Pseudomonas corrugata	6
61624	Paenibacillus mucilaginosus	6
68214	Streptomyces griseochromogenes	6
85643	Thauera sp. MZ1T	6
93218	Pandoraea apista	6
111527	pseudomallei group	6
153135	Gammaretrovirus	6
262722	Mycoplasma hyopneumoniae 7448	6
278992	Streptomyces ambofaciens ATCC 23877	6
314722	Pseudoxanthomonas suwonensis	6
386891	Moraxella bovoculi	6
397945	Acidovorax citrulli AAC00-1	6
411154	Gramella forsetii KT0803	6
443218	Hoyosella subflava DQS3-9A1	6
450851	Phenylobacterium zucineum HLK1	6
471852	Thermomonospora curvata DSM 43183	6
479431	Nakamurella multipartita DSM 44233	6
479432	Streptosporangium roseum DSM 43021	6
479433	Catenulispora acidiphila DSM 44928	6
525897	Desulfomicrobium baculatum DSM 4028	6
525903	Thermanaerovibrio acidaminovorans DSM 6589	6
543877	Altererythrobacter marensis	6
595593	Arthrobacter sp. A3	6
653045	Streptomyces violaceusniger Tu 4113	6
716816	Oceanicoccus sagamiensis	6
761193	Runella slithyformis DSM 19594	6
860235	Kibdelosporangium phytohabitans	6
927083	Sandaracinus amylolyticus	6
1094489	Bartonella australis Aust/NH1	6
1118964	Mycoplasma hyorhinis SK76	6
1173026	Gloeocapsa sp. PCC 7428	6
1307761	Salinispira pacifica	6
1449976	Kutzneria albida DSM 43870	6
1492898	Flavisolibacter sp. LCS9	6
1536775	Paenibacillus sp. FSL H7-0737	6
1555112	Limnochorda pilosa	6
1643450	Devosia sp. H5989	6
1725411	Streptomyces sp. CdTB01	6
1740163	Burkholderia sp. Bp7605	6
1768108	Deinococcus actinosclerus	6
1805827	Rhodococcus sp. MTM3W5.2	6
1842533	Acidovorax sp. RAC01	6
1842539	Bosea sp. RAC05	6
1891926	Fuerstia marisgermanicae	6
1920883	Marivivens sp. JLT3646	6
1985873	Sulfuriferula sp. AH1	6
56	Sorangium cellulosum	5
897	Desulfococcus multivorans	5
1117	Cyanobacteria	5
1385	Bacillales	5
2014	Nocardiopsis dassonvillei	5
2092	Mycoplasmataceae	5
2249	Halococcus	5
29341	Clostridium argentinense	5
31958	Amycolatopsis orientalis	5
38300	Streptomyces pristinaespiralis	5
54291	Raoultella ornithinolytica	5
65093	Halothece sp. PCC 7418	5
83554	Chlamydia psittaci	5
86664	Bacillus flexus	5
92947	Ketogulonicigenium robustum	5
93217	Pandoraea	5
96561	Desulfococcus oleovorans Hxd3	5
119060	Burkholderiaceae	5
119858	Bacillus sonorensis	5
121871	Haloterrigena	5
134676	Actinoplanes sp. SE50/110	5
179636	Alicycliphilus denitrificans	5
186822	Paenibacillaceae	5
262324	Lysobacter gummosus	5
269799	Geobacter metallireducens GS-15	5
269800	Thermobifida fusca YX	5
279238	Novosphingobium aromaticivorans DSM 12444	5
288000	Bradyrhizobium sp. BTAi1	5
298653	Frankia sp. EAN1pec	5
311402	Agrobacterium vitis S4	5
316273	Xanthomonas campestris pv. vesicatoria str. 85-10	5
317936	Nostoc sp. PCC 7107	5
318586	Paracoccus denitrificans PD1222	5
340345	Actinoalloteichus hymeniacidonis	5
362257	Streptomyces vietnamensis	5
362976	Haloquadratum walsbyi DSM 16790	5
376489	Halotalea alkalilenta	5
392500	Shewanella woodyi ATCC 51908	5
395019	Burkholderia multivorans ATCC 17616	5
395963	Beijerinckia indica subsp. indica ATCC 9039	5
419435	Glypta fumiferanae ichnovirus	5
445576	Pseudonocardia sp. AL041005-10	5
469383	Conexibacter woesei DSM 14684	5
477641	Modestobacter marinus	5
483547	Geoalkalibacter subterraneus	5
557598	Laribacter hongkongensis HLHK9	5
588932	Brevundimonas naejangsanensis	5
632772	Rhodococcus opacus B4	5
643648	Syntrophothermus lipocalidus DSM 12680	5
644282	Desulfarculus baarsii DSM 2075	5
656519	Halanaerobium hydrogeniformans	5
765952	Parachlamydia acanthamoebae UV-7	5
767817	Desulfotomaculum gibsoniae DSM 7213	5
1051646	Vibrio tubiashii ATCC 19109	5
1123269	Sphingomonas sanxanigenens DSM 19645 = NX02	5
1173027	Microcoleus sp. PCC 7113	5
1183438	Gloeobacter kilaueensis JS1	5
1217721	Dyella japonica A8	5
1223515	Corynebacterium humireducens NBRC 106098 = DSM 45392	5
1246626	Bacillus lehensis G1	5
1278073	Myxococcus stipitatus DSM 14675	5
1300344	Isoptericola dokdonensis DS-3	5
1389192	Cupriavidus sp. USMAHM13	5
1407499	Halobacterium hubeiense	5
1563660	Sucra jujuba nucleopolyhedrovirus	5
1579316	Halocynthiibacter arcticus	5
1609977	Sphingomonas hengshuiensis	5
1632864	Planctomyces sp. SH-PL14	5
1641402	Pseudonocardia sp. HH130629-09	5
1752063	Fischerella sp. NIES-3754	5
1812480	Streptomyces sp. fd1-xmd	5
1812934	Enterobacter cloacae complex 'Hoffmann cluster III'	5
1849967	Streptomyces sp. SAT1	5
1978566	Cryobacterium sp. LW097	5
262	Francisella	4
303	Pseudomonas putida	4
407	Methylobacterium	4
408	Methylobacterium extorquens	4
517	Bordetella	4
727	Haemophilus influenzae	4
770	Anaplasma marginale	4
1016	Capnocytophaga	4
1076	Rhodopseudomonas palustris	4
1085	Rhodospirillum rubrum	4
1107	Chloroflexus	4
1161	Nostocales	4
1239	Firmicutes	4
1304	Streptococcus salivarius	4
1308	Streptococcus thermophilus	4
1314	Streptococcus pyogenes	4
1336	Streptococcus equi	4
1477	Paenibacillus larvae subsp. pulvifaciens	4
1482	Virgibacillus halodenitrificans	4
1596	Lactobacillus gasseri	4
1718	Corynebacterium glutamicum	4
1813	Amycolatopsis	4
2285	Sulfolobus acidocaldarius	4
2742	Marinobacter	4
10243	Cowpox virus	4
10442	Baculoviridae	4
28116	Bacteroides ovatus	4
28216	Betaproteobacteria	4
33995	Komagataeibacter europaeus	4
36853	Desulfitobacterium	4
40324	Stenotrophomonas maltophilia	4
44249	Paenibacillus	4
59753	Alcanivorax	4
65496	Actinoalloteichus	4
69395	Caulobacter henricii	4
72274	Pseudomonadales	4
72275	Alteromonadaceae	4
74320	Buzura suppressaria nucleopolyhedrovirus	4
80840	Burkholderiales	4
83986	Methanoculleus bourgensis	4
87883	Burkholderia multivorans	4
93219	Pandoraea norimbergensis	4
93220	Pandoraea pnomenusa	4
106589	Cupriavidus	4
