TaxID	Lineage	Freq
10116	Rattus norvegicus	4150633
314146	Euarchontoglires	3413465
131567	cellular organisms	126723
9606	Homo sapiens	82733
1	root	19858
1455609	Haloterrigena jeotgali A29	4948
948	Anaplasma phagocytophilum	3909
696127	Candidatus Midichloria mitochondrii IricVA	2333
573065	Asticcacaulis excentricus CB 48	2045
11768	Feline leukemia virus	1982
11786	Murine leukemia virus	1343
388950	Pontibacter akesuensis	1240
1702287	Negativicoccus massiliensis	1180
153135	Gammaretrovirus	687
1445510	Gynuella sunshinyii YC6258	681
2	Bacteria	473
222891	Neorickettsia sennetsu str. Miyayama	440
394239	Koala retrovirus	440
2041	Aeromicrobium erythreum	435
11801	Moloney murine leukemia virus	381
364745	Choristoneura occidentalis granulovirus	357
1715989	Candidatus Nitrospira inopinata	356
1254432	Sorangium cellulosum So0157-2	297
1082851	Comamonas serinivorans	279
1543721	Sedimenticola thiotaurini	257
1224	Proteobacteria	242
1883	Streptomyces	237
356	Rhizobiales	196
11819	Spleen focus-forming virus	196
479432	Streptosporangium roseum DSM 43021	181
10243	Cowpox virus	173
53408	Pseudomonas citronellolis	171
53707	Pseudomonas amygdali pv. lachrymans	169
697329	Ruminococcus albus 7 = DSM 20455	148
28197	Arcobacter butzleri	147
598659	Nautilia profundicola AmH	147
1632864	Planctomyces sp. SH-PL14	146
1697043	Bordetella sp. H567	144
28095	Burkholderia gladioli	139
48	Archangium gephyra	136
12916	Acidovorax	134
1834519	Fibrella sp. ES10-3-2-2	132
1072256	Corynebacterium uterequi	130
794903	Opitutaceae bacterium TAV5	129
61624	Paenibacillus mucilaginosus	126
326427	Chloroflexus aggregans DSM 9485	125
1538644	Sphingobacterium sp. ML3W	124
1173022	Crinalium epipsammum PCC 9333	117
388919	Streptococcus sanguinis SK36	111
52	Chondromyces crocatus	109
456442	Methanoregula boonei 6A8	108
1334629	Myxococcus fulvus 124B02	106
1173026	Gloeocapsa sp. PCC 7428	103
450378	Croceicoccus marinus	102
613	Serratia	101
106590	Cupriavidus necator	99
1985873	Sulfuriferula sp. AH1	99
446470	Stackebrandtia nassauensis DSM 44728	97
710696	Intrasporangium calvum DSM 43043	97
28211	Alphaproteobacteria	96
198620	Pseudomonas koreensis	96
1763	Mycobacterium	93
298654	Frankia inefficax	92
1390395	Sphingomonas sp. LK11	92
262324	Lysobacter gummosus	88
479433	Catenulispora acidiphila DSM 44928	88
479435	Kribbella flavida DSM 17836	88
1215089	Planococcus halocryophilus	88
1670800	Mesorhizobium sp. B7	87
353210	Replication competent viruses	85
595494	Tolumonas auensis DSM 9187	85
32008	Burkholderia	84
1441930	Chania multitudinisentens RB-25	83
83986	Methanoculleus bourgensis	81
255247	Fictibacillus arsenicus	81
2371	Xylella fastidiosa	80
404589	Anaeromyxobacter sp. Fw109-5	80
743722	Sphingobacterium sp. 21	79
713585	Thioalkalivibrio paradoxus ARh 1	78
87882	Burkholderia cepacia complex	77
686597	Martelella sp. AD-3	76
420662	Methylibium petroleiphilum PM1	74
675635	Pseudonocardia dioxanivorans CB1190	72
230356	Methanolacinia paynteri	70
448385	Sorangium cellulosum So ce56	70
1915078	Thioclava nitratireducens	70
425104	Shewanella sediminis HAW-EB3	69
1842533	Acidovorax sp. RAC01	69
122277	Pectobacterium	68
59374	Fibrobacter succinogenes subsp. succinogenes S85	67
1760	Actinobacteria	66
392500	Shewanella woodyi ATCC 51908	65
797299	Halostagnicola larsenii XH-48	65
93220	Pandoraea pnomenusa	64
286	Pseudomonas	63
338	Xanthomonas	63
471853	Beutenbergia cavernae DSM 12333	62
222	Achromobacter	60
10662	Myoviridae	59
59201	Salmonella enterica subsp. enterica	58
208439	Amycolatopsis japonica	58
314260	Parvularcula bermudensis HTCC2503	57
1236	Gammaproteobacteria	56
193462	Streptomyces niveus	55
1300347	Nocardioides dokdonensis FR1436	55
54571	Streptomyces venezuelae	54
365046	Ramlibacter tataouinensis TTB310	54
1758689	Serinicoccus sp. JLT9	53
1847	Pseudonocardia	52
106370	Frankia casuarinae	52
445710	Dyella thiooxydans	52
294	Pseudomonas fluorescens	51
31957	Propionibacteriaceae	51
204457	Sphingomonadales	51
640511	Burkholderia sp. CCGE1002	51
1838286	Lacunisphaera limnophila	51
570	Klebsiella	50
644282	Desulfarculus baarsii DSM 2075	50
756272	Rubinisphaera brasiliensis DSM 5305	50
1555112	Limnochorda pilosa	50
1783515	Streptomyces sp. S10(2016)	49
246197	Myxococcus xanthus DK 1622	48
661410	Methylobacterium extorquens DM4	48
1307761	Salinispira pacifica	48
1805714	Christensenella massiliensis	47
1841249	Streptomyces sp. RTd22	47
1909395	Nonomuraea sp. ATCC 55076	47
1117	Cyanobacteria	45
1888	Streptomyces albus	45
1075397	Halolamina	45
80865	Delftia	44
326424	Frankia alni ACN14a	44
526227	Meiothermus silvanus DSM 9946	44
550540	Ferrimonas balearica DSM 9799	44
1301	Streptococcus	43
1747	Cutibacterium acnes	43
38300	Streptomyces pristinaespiralis	43
927083	Sandaracinus amylolyticus	43
1041522	Mycobacterium colombiense CECT 3035	43
43657	Pseudoalteromonas luteoviolacea	42
190893	Vibrio coralliilyticus	42
930166	Pseudomonas brassicacearum	42
1230456	Halorubrum kocurii JCM 14978	42
176299	Agrobacterium fabrum str. C58	41
396588	Thioalkalivibrio sulfidiphilus HL-EbGr7	41
945713	Ignavibacterium album JCM 16511	41
1707785	Massilia sp. WG5	41
1915	Streptomyces lincolnensis	40
337191	Gordonia sp. KTR9	40
94132	Ramlibacter tataouinensis	39
479431	Nakamurella multipartita DSM 44233	39
502025	Haliangium ochraceum DSM 14365	39
590745	Mus musculus mobilized endogenous polytropic provirus	39
864564	Parascardovia denticolens DSM 10105 = JCM 12538	39
1586713	Yellowstone lake phycodnavirus 1	39
1667587	Papio ursinus cytomegalovirus	39
37329	Nocardia farcinica	38
93217	Pandoraea	38
1111069	Thermus sp. CCB_US3_UF1	38
1249552	Pseudohongiella spirulinae	38
1386	Bacillus	37
33059	Acidithiobacillus caldus	37
455632	Streptomyces griseus subsp. griseus NBRC 13350	37
1561022	Streptomyces sp. CCM_MD2014	37
287	Pseudomonas aeruginosa	36
1126	Microcystis aeruginosa	36
2251	Haloferax	36
84022	Clostridium aceticum	36
292913	Sphingopyxis sp. 113P3	36
446462	Actinosynnema mirum DSM 43827	36
456163	Thermus parvatiensis	36
1227493	Natrialba hulunbeirensis JCM 10989	36
1536770	Paenibacillus sp. FSL R5-0345	36
1725411	Streptomyces sp. CdTB01	36
1827	Rhodococcus	35
35237	dsDNA viruses, no RNA stage	35
471852	Thermomonospora curvata DSM 43183	35
660596	Pantoea stewartii subsp. stewartii DC283	35
1729720	Salegentibacter sp. T436	35
1482	Virgibacillus halodenitrificans	34
1144275	Corallococcus coralloides DSM 2259	34
1300344	Isoptericola dokdonensis DS-3	34
31989	Rhodobacteraceae	33
412690	Microterricola viridarii	33
1110502	Tistrella mobilis KA081020-065	33
1274631	Bradyrhizobium icense	33
1842539	Bosea sp. RAC05	33
1945512	Cellvibrio sp. PSBB023	33
316	Pseudomonas stutzeri	32
727	Haemophilus influenzae	32
1388	Alicyclobacillus acidocaldarius subsp. acidocaldarius	32
1663	Arthrobacter	32
80840	Burkholderiales	32
80864	Comamonadaceae	32
83558	Chlamydia pneumoniae	32
84292	Microbacterium chocolatum	32
93218	Pandoraea apista	32
106589	Cupriavidus	32
1300914	Mucilaginibacter sp. PAMC 26640	32
1515612	Sphingopyxis fribergensis	32
1852374	Ezakiella massiliensis	32
11788	Abelson murine leukemia virus	31
59505	Actinotignum schaalii	31
85698	Achromobacter xylosoxidans	31
653045	Streptomyces violaceusniger Tu 4113	31
1408224	Sinorhizobium americanum CCGM7	31
1579316	Halocynthiibacter arcticus	31
1858609	Acidovorax sp. T1	31
305	Ralstonia solanacearum	30
901	Desulfovibrio piger	30
2267	Thermoproteaceae	30
29341	Clostridium argentinense	30
44249	Paenibacillus	30
47878	Pseudomonas azotoformans	30
56458	Xanthomonas sacchari	30
75105	Paraburkholderia caribensis	30
234612	Streptomyces sp. TN58	30
290318	Chlorobium phaeovibrioides DSM 265	30
374981	Synechococcus sp. PCC 7003	30
743721	Pseudoxanthomonas suwonensis 11-1	30
1183438	Gloeobacter kilaueensis JS1	30
2237	Haloarcula	29
34062	Moraxella osloensis	29
141451	Oleiphilus messinensis	29
269800	Thermobifida fusca YX	29
338969	Rhodoferax ferrireducens T118	29
395965	Methylocella silvestris BL2	29
931626	Acetobacterium woodii DSM 1030	29
1133849	Nocardia brasiliensis ATCC 700358	29
1229727	Thiobacimonas profunda	29
1250539	Pelagibaca abyssi	29
1315974	Sphingobium sp. TKS	29
1849032	Arthrobacter sp. U41	29
512565	Actinoplanes missouriensis 431	28
983917	Rubrivivax gelatinosus IL144	28
1420917	Marinobacter salarius	28
111781	Leptolyngbya sp. PCC 7376	27
571913	Luteipulveratus mongoliensis	27
649831	Actinoplanes sp. N902-109	27
656366	Arthrobacter alpinus	27
754035	Mesorhizobium australicum WSM2073	27
1069534	Lactobacillus ruminis ATCC 27782	27
1125847	Rhizobium sp. NT-26	27
1379910	Rufibacter sp. DG31D	27
1434111	Methanosarcina lacustris Z-7289	27
1697053	Oblitimonas alkaliphila	27
192	Azospirillum brasilense	26
296	Pseudomonas fragi	26
517	Bordetella	26
573	Klebsiella pneumoniae	26
582	Morganella morganii	26
285473	Streptomyces rubrolavendulae	26
288000	Bradyrhizobium sp. BTAi1	26
1030157	Sphingomonas sp. KC8	26
1437453	Streptomyces leeuwenhoekii	26
1904640	Betaproteobacteria bacterium GR16-43	26
562	Escherichia coli	25
964	Herbaspirillum seropedicae	25
1076	Rhodopseudomonas palustris	25
1314	Streptococcus pyogenes	25
47763	Streptomyces lydicus	25
57975	Burkholderia thailandensis	25
298653	Frankia sp. EAN1pec	25
397945	Acidovorax citrulli AAC00-1	25
446466	Cellulomonas flavigena DSM 20109	25
452652	Kitasatospora setae KM-6054	25
477245	Streptomyces cyaneogriseus subsp. noncyanogenus	25
1117647	Simiduia agarivorans SA1 = DSM 21679	25
1141883	Massilia putida	25
1147786	Pseudomonas mandelii JR-1	25
1217721	Dyella japonica A8	25
1223802	Sulfuritalea hydrogenivorans sk43H	25
1245471	Pseudomonas resinovorans NBRC 106553	25
1783272	Terrabacteria group	25
1805478	Olsenella sp. Marseille-P2300	25
1894	Streptomyces aureofaciens	24
68173	Streptomyces albolongus	24
119060	Burkholderiaceae	24
353212	Mammalian gammaretrovirus group	24
1434107	Methanosarcina barkeri 3	24
1812934	Enterobacter cloacae complex 'Hoffmann cluster III'	24
1917232	Only Syngen Nebraska virus 5	24
107	Spirosoma	23
635	Edwardsiella	23
145261	Methanothermobacter wolfeii	23
477641	Modestobacter marinus	23
544580	Actinomyces oris	23
926550	Caldilinea aerophila DSM 14535 = NBRC 104270	23
1223515	Corynebacterium humireducens NBRC 106098 = DSM 45392	23
1227454	Halobiforma nitratireducens JCM 10879	23
1526658	Bosea vaviloviae	23
543	Enterobacteriaceae	22
662	Vibrio	22
1268	Micrococcaceae	22
1717	Corynebacterium diphtheriae	22
12316	Ilarvirus	22
33882	Microbacterium	22
50290	Aotine betaherpesvirus 1	22
54291	Raoultella ornithinolytica	22
59753	Alcanivorax	22
146923	Streptomyces parvulus	22
351607	Acidothermus cellulolyticus 11B	22
469383	Conexibacter woesei DSM 14684	22
868864	Desulfurobacterium thermolithotrophum DSM 11699	22
1923127	Hubei picorna-like virus 46	22
1963271	Halorubraceae	22
22	Shewanella	21
1515	Ruminiclostridium thermocellum	21
1754	Thermoanaerobacter	21
56460	Xanthomonas vesicatoria	21
65496	Actinoalloteichus	21
465541	Streptomyces sp. Mg1	21
1245469	Bradyrhizobium oligotrophicum S58	21
1630693	Gemmata sp. SH-PL17	21
1147	Synechocystis sp. PCC 6714	20
1239	Firmicutes	20
1590	Lactobacillus plantarum	20
85007	Corynebacteriales	20
121871	Haloterrigena	20
330214	Nitrospira defluvii	20
357809	Lachnoclostridium phytofermentans ISDg	20
509190	Caulobacter segnis ATCC 21756	20
526225	Geodermatophilus obscurus DSM 43160	20
557598	Laribacter hongkongensis HLHK9	20
706587	Desulfomonile tiedjei DSM 6799	20
1069082	Halomicrobium katesii DSM 19301	20
1387353	Paludisphaera borealis	20
1572656	Ruminococcaceae bacterium CPB6	20
1609977	Sphingomonas hengshuiensis	20
1620392	Spongiibacter sp. IMCC21906	20
1931241	Pseudomonas sp. S-6-2	20
847	Oxalobacter formigenes	19
1129	Synechococcus	19
1940	Streptomyces albireticuli	19
31958	Amycolatopsis orientalis	19
37332	Nocardia seriolae	19
84531	Lysobacter antibioticus	19
134676	Actinoplanes sp. SE50/110	19
140052	Betaretrovirus	19
158500	Novosphingobium resinovorum	19
186802	Clostridiales	19
292564	Cyanobium gracile PCC 6307	19
693979	Bacteroides helcogenes P 36-108	19
1142394	Phycisphaera mikurensis NBRC 102666	19
1173027	Microcoleus sp. PCC 7113	19
1300342	Dokdonella koreensis DS-123	19
1349410	Pandoravirus salinus	19
1564114	Rhodococcus sp. B7740	19
546	Citrobacter freundii	18
1703	Brevibacterium linens	18
33910	Amycolatopsis mediterranei	18
96561	Desulfococcus oleovorans Hxd3	18
134537	Paraburkholderia fungorum	18
257708	Roseomonas gilardii	18
318586	Paracoccus denitrificans PD1222	18
329726	Acaryochloris marina MBIC11017	18
445576	Pseudonocardia sp. AL041005-10	18
460265	Methylobacterium nodulans ORS 2060	18
483547	Geoalkalibacter subterraneus	18
797114	Halosimplex carlsbadense 2-9-1	18
1307839	Salinivirga cyanobacteriivorans	18
1379909	Rufibacter sp. DG15C	18
1457250	Halapricum salinum	18
1933220	Sphingobacterium sp. B29	18
379	Rhizobium	17
1569	Sporosarcina	17
32051	Synechococcus sp. WH 7803	17
62928	Azoarcus sp. BH72	17
75682	Oxalobacteraceae	17
75906	Thermocrinis ruber	17
85413	Bosea	17
119858	Bacillus sonorensis	17
266940	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	17
316278	Synechococcus sp. RCC307	17
342113	Burkholderia oklahomensis	17
471223	Geobacillus sp. WCH70	17
574087	Acetohalobium arabaticum DSM 5501	17
593907	Cellulomonas gilvus ATCC 13127	17
926562	Owenweeksia hongkongensis DSM 17368	17
983548	Dokdonia sp. 4H-3-7-5	17
1045855	Pseudoxanthomonas spadix BD-a59	17
1335757	Spiribacter curvatus	17
1610493	Tessaracoccus flavus	17
1842535	Blastomonas sp. RAC04	17
1920667	Mycobacterium sp. WY10	17
340	Xanthomonas campestris pv. campestris	16
407	Methylobacterium	16
642	Aeromonas	16
1085	Rhodospirillum rubrum	16
2309	Pyrodictium occultum	16
49338	Desulfitobacterium hafniense	16
111015	Actinomyces radicidentis	16
111527	pseudomallei group	16
342949	Pyrococcus sp. NA2	16
395963	Beijerinckia indica subsp. indica ATCC 9039	16
418223	Methylobacterium phyllosphaerae	16
435897	Lysobacter capsici	16
444103	Streptomyces sp. CNQ-509	16
588932	Brevundimonas naejangsanensis	16
926570	Acidiphilium multivorum AIU301	16
1032480	Microlunatus phosphovorus NM-1	16
1156913	Amycolatopsis orientalis HCCB10007	16
1208921	Candidatus Kinetoplastibacterium galatii TCC219	16
1214242	Streptomyces collinus Tu 365	16
1267562	Cupriavidus gilardii CR3	16
1356852	Hymenobacter sp. APR13	16
1449976	Kutzneria albida DSM 43870	16
1798085	Piscine myocarditis-like virus	16
1842534	Sinorhizobium sp. RAC02	16
1964449	Streptomyces sp. 3211	16
262	Francisella	15
303	Pseudomonas putida	15
1598	Lactobacillus reuteri	15
28890	Euryarchaeota	15
40323	Stenotrophomonas	15
41275	Brevundimonas	15
49546	Flavobacteriaceae	15
68570	Streptomyces albulus	15
103817	Janibacter terrae	15
121719	Pannonibacter phragmitetus	15
196162	Nocardioides sp. JS614	15
270351	Methylobacterium aquaticum	15
378806	Stigmatella aurantiaca DW4/3-1	15
438753	Azorhizobium caulinodans ORS 571	15
452637	Opitutus terrae PB90-1	15
472759	Nitrosococcus halophilus Nc 4	15
528244	Azospirillum thiophilum	15
634177	Komagataeibacter medellinensis NBRC 3288	15
644966	Thermaerobacter marianensis DSM 12885	15
716541	Enterobacter cloacae subsp. cloacae ATCC 13047	15
747365	Thermodesulfobium narugense DSM 14796	15
756883	halophilic archaeon DL31	15
762376	Achromobacter xylosoxidans A8	15
1224162	Corynebacterium marinum DSM 44953	15
1246995	Actinoplanes friuliensis DSM 7358	15
1297742	Myxococcus hansupus	15
1379270	Gemmatimonas phototrophica	15
1430440	Magnetospirillum gryphiswaldense MSR-1 v2	15
1736675	Devosia sp. A16	15
1898684	Pseudomonas sp. LPH1	15
339	Xanthomonas campestris	14
522	Acidiphilium	14
897	Desulfococcus multivorans	14
1372	Planococcus	14
1935	Streptomyces violaceoruber	14
28221	Deltaproteobacteria	14
28228	Colwellia	14
44000	Caldicellulosiruptor	14
58049	Colwellia sp. MT41	14
68895	Cupriavidus basilensis	14
145458	Rathayibacter toxicus	14
188937	Methanosarcina acetivorans C2A	14
234267	Candidatus Solibacter usitatus Ellin6076	14
272569	Haloarcula marismortui ATCC 43049	14
300019	Microbacterium paludicola	14
391735	Verminephrobacter eiseniae EF01-2	14
455364	Chrysochromulina ericina virus	14
523845	Methanothermococcus thermolithotrophicus DSM 2095	14
572477	Allochromatium vinosum DSM 180	14
590998	Cellulomonas fimi ATCC 484	14
680198	Streptomyces scabiei 87.22	14
860235	Kibdelosporangium phytohabitans	14
869210	Marinithermus hydrothermalis DSM 14884	14
878220	Chryseobacterium sp. StRB126	14
1170562	Calothrix sp. PCC 6303	14
1225786	Dickeya solani IPO 2222	14
1586287	Lentzea guizhouensis	14
1636152	Planctomyces sp. SH-PL62	14
1891926	Fuerstia marisgermanicae	14
