TaxID	Lineage	Freq
10116	Rattus norvegicus	11302868
314146	Euarchontoglires	1621300
9606	Homo sapiens	70170
1	root	43568
131567	cellular organisms	37933
243232	Methanocaldococcus jannaschii DSM 2661	22150
948	Anaplasma phagocytophilum	15659
364745	Choristoneura occidentalis granulovirus	7335
2041	Aeromicrobium erythreum	4915
196118	Methanocaldococcus	2230
2	Bacteria	2204
573065	Asticcacaulis excentricus CB 48	1816
28228	Colwellia	1700
585425	Synechococcus sp. KORDI-52	1455
590745	Mus musculus mobilized endogenous polytropic provirus	1173
266117	Rubrobacter xylanophilus DSM 9941	1146
356	Rhizobiales	989
11768	Feline leukemia virus	851
1224162	Corynebacterium marinum DSM 44953	801
1715989	Candidatus Nitrospira inopinata	700
1795630	Frondihabitans sp. PAMC 28766	659
1445510	Gynuella sunshinyii YC6258	619
1224	Proteobacteria	558
630626	Shimwellia blattae DSM 4481 = NBRC 105725	502
543	Enterobacteriaceae	495
188937	Methanosarcina acetivorans C2A	373
1334629	Myxococcus fulvus 124B02	370
1173026	Gloeocapsa sp. PCC 7428	357
93064	Sphingomonas koreensis	343
1386	Bacillus	341
198620	Pseudomonas koreensis	336
1117647	Simiduia agarivorans SA1 = DSM 21679	334
1349410	Pandoravirus salinus	324
1760	Actinobacteria	314
660596	Pantoea stewartii subsp. stewartii DC283	276
697329	Ruminococcus albus 7 = DSM 20455	275
526227	Meiothermus silvanus DSM 9946	267
106590	Cupriavidus necator	265
1883	Streptomyces	262
91347	Enterobacterales	254
656024	Frankia symbiont of Datisca glomerata	249
744985	alpha proteobacterium HIMB59	249
2267	Thermoproteaceae	243
1203599	Mycobacterium yongonense	235
483547	Geoalkalibacter subterraneus	231
388950	Pontibacter akesuensis	228
408	Methylobacterium extorquens	227
1254432	Sorangium cellulosum So0157-2	220
272942	Rhodobacter capsulatus SB 1003	217
643562	Desulfovibrio aespoeensis Aspo-2	213
353210	Replication competent viruses	211
179408	Oscillatoria nigro-viridis PCC 7112	202
1229727	Thiobacimonas profunda	201
985762	Staphylococcus agnetis	196
1173022	Crinalium epipsammum PCC 9333	196
2182	Methanococcales	191
48	Archangium gephyra	190
655015	Methylocystis bryophila	189
28211	Alphaproteobacteria	186
49546	Flavobacteriaceae	179
31957	Propionibacteriaceae	177
391037	Salinispora arenicola CNS-205	173
190893	Vibrio coralliilyticus	164
445710	Dyella thiooxydans	164
754035	Mesorhizobium australicum WSM2073	164
286	Pseudomonas	162
1763	Mycobacterium	161
1697053	Oblitimonas alkaliphila	160
653045	Streptomyces violaceusniger Tu 4113	158
338	Xanthomonas	154
12916	Acidovorax	150
196117	Methanocaldococcaceae	150
713585	Thioalkalivibrio paradoxus ARh 1	149
1575	Leifsonia xyli	140
649831	Actinoplanes sp. N902-109	140
878220	Chryseobacterium sp. StRB126	138
292800	Flavonifractor plautii	135
1126	Microcystis aeruginosa	133
1297742	Myxococcus hansupus	133
926562	Owenweeksia hongkongensis DSM 17368	129
115808	Bradyrhizobium sp. ORS 285	126
351679	Xenorhabdus hominickii	126
1042156	Clostridium sp. SY8519	124
1841249	Streptomyces sp. RTd22	124
10662	Myoviridae	121
1449976	Kutzneria albida DSM 43870	121
1632864	Planctomyces sp. SH-PL14	121
262324	Lysobacter gummosus	120
11757	Mouse mammary tumor virus	117
84292	Microbacterium chocolatum	117
1714373	Microbacterium sp. No. 7	116
425104	Shewanella sediminis HAW-EB3	115
595494	Tolumonas auensis DSM 9187	114
28453	Sphingobacterium	112
68288	Cyclobacterium	112
632772	Rhodococcus opacus B4	112
29341	Clostridium argentinense	111
38300	Streptomyces pristinaespiralis	110
326424	Frankia alni ACN14a	109
1150468	Scardovia inopinata JCM 12537	109
1372	Planococcus	108
710696	Intrasporangium calvum DSM 43043	108
754409	Winogradskyella sp. PG-2	108
1909395	Nonomuraea sp. ATCC 55076	107
635	Edwardsiella	106
350058	Mycobacterium vanbaalenii PYR-1	106
983917	Rubrivivax gelatinosus IL144	106
22	Shewanella	104
1268	Micrococcaceae	103
1408281	Endomicrobium proavitum	103
448385	Sorangium cellulosum So ce56	99
561304	Mycobacterium leprae Br4923	98
1561022	Streptomyces sp. CCM_MD2014	97
1122233	Methermicoccus shengliensis DSM 18856	96
1697043	Bordetella sp. H567	96
1736675	Devosia sp. A16	96
465515	Micrococcus luteus NCTC 2665	95
1915078	Thioclava nitratireducens	93
246197	Myxococcus xanthus DK 1622	92
1069082	Halomicrobium katesii DSM 19301	92
87882	Burkholderia cepacia complex	91
446470	Stackebrandtia nassauensis DSM 44728	88
1223566	Bradyrhizobium sp. CCGE-LA001	88
1526658	Bosea vaviloviae	87
522373	Stenotrophomonas maltophilia K279a	86
294	Pseudomonas fluorescens	85
326427	Chloroflexus aggregans DSM 9485	84
1173027	Microcoleus sp. PCC 7113	84
1555112	Limnochorda pilosa	83
1652495	Corynebacterium crudilactis	83
528244	Azospirillum thiophilum	82
1236	Gammaproteobacteria	80
1144275	Corallococcus coralloides DSM 2259	80
1630693	Gemmata sp. SH-PL17	78
1827	Rhodococcus	77
11801	Moloney murine leukemia virus	77
262	Francisella	75
222	Achromobacter	74
287	Pseudomonas aeruginosa	74
1298	Deinococcus	74
661410	Methylobacterium extorquens DM4	74
1279	Staphylococcus	73
225937	Marinobacter adhaerens HP15	73
44249	Paenibacillus	72
417290	Saccharopolyspora erythraea prophage pSE211	72
675635	Pseudonocardia dioxanivorans CB1190	72
2207	Methanosarcina	70
84022	Clostridium aceticum	70
407	Methylobacterium	69
1847	Pseudonocardia	69
337191	Gordonia sp. KTR9	69
395963	Beijerinckia indica subsp. indica ATCC 9039	69
1249668	Burkholderia ubonensis MSMB22	69
1729720	Salegentibacter sp. T436	69
269799	Geobacter metallireducens GS-15	68
288000	Bradyrhizobium sp. BTAi1	68
452652	Kitasatospora setae KM-6054	68
32008	Burkholderia	66
68214	Streptomyces griseochromogenes	66
1609977	Sphingomonas hengshuiensis	66
1707785	Massilia sp. WG5	66
2014	Nocardiopsis dassonvillei	65
47763	Streptomyces lydicus	65
927083	Sandaracinus amylolyticus	65
1636152	Planctomyces sp. SH-PL62	65
1891926	Fuerstia marisgermanicae	65
335543	Syntrophobacter fumaroxidans MPOB	64
1569	Sporosarcina	63
33059	Acidithiobacillus caldus	63
285473	Streptomyces rubrolavendulae	63
191610	Corynebacterium atypicum	62
1138382	Mycobacterium intracellulare MOTT-02	62
1239	Firmicutes	61
1783515	Streptomyces sp. S10(2016)	61
11840	Gibbon ape leukemia virus	60
338963	Pelobacter carbinolicus DSM 2380	60
1125847	Rhizobium sp. NT-26	60
1227487	Halogeometricum pallidum JCM 14848	60
1795631	Variovorax sp. PAMC 28711	60
562	Escherichia coli	59
1888	Streptomyces albus	59
1030157	Sphingomonas sp. KC8	59
1758689	Serinicoccus sp. JLT9	59
1129	Synechococcus	58
31989	Rhodobacteraceae	58
40323	Stenotrophomonas	58
85698	Achromobacter xylosoxidans	58
1110502	Tistrella mobilis KA081020-065	58
1917232	Only Syngen Nebraska virus 5	58
765910	Marichromatium purpuratum 984	57
75105	Paraburkholderia caribensis	56
204457	Sphingomonadales	56
1008153	Halalkalicoccus paucihalophilus	56
1513	Clostridium tetani	55
392733	Terriglobus	55
28890	Euryarchaeota	54
61624	Paenibacillus mucilaginosus	54
155085	Staphylococcus lutrae	54
230356	Methanolacinia paynteri	54
743718	Isoptericola variabilis 225	54
1357915	Arthrobacter sp. QXT-31	54
1667587	Papio ursinus cytomegalovirus	54
1838286	Lacunisphaera limnophila	54
795665	Hydrogenophaga sp. PBC	53
1492898	Flavisolibacter sp. LCS9	53
1858609	Acidovorax sp. T1	53
33050	Sphingopyxis macrogoltabida	52
90270	Xanthomonas gardneri	52
192	Azospirillum brasilense	51
680198	Streptomyces scabiei 87.22	51
861360	Glutamicibacter arilaitensis Re117	51
340	Xanthomonas campestris pv. campestris	50
573370	Desulfovibrio magneticus RS-1	50
316	Pseudomonas stutzeri	49
613	Serratia	49
1301	Streptococcus	49
269800	Thermobifida fusca YX	49
272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	49
1932360	Halorientalis sp. IM1011	49
35237	dsDNA viruses, no RNA stage	48
216142	Pseudomonas rhizosphaerae	48
686597	Martelella sp. AD-3	48
710421	Mycobacterium chubuense NBB4	48
28095	Burkholderia gladioli	47
75906	Thermocrinis ruber	47
222891	Neorickettsia sennetsu str. Miyayama	47
349215	Micavibrio aeruginosavorus EPB	47
794903	Opitutaceae bacterium TAV5	47
1561023	Curtobacterium sp. MR_MD2014	47
1725411	Streptomyces sp. CdTB01	47
33910	Amycolatopsis mediterranei	46
54571	Streptomyces venezuelae	46
353212	Mammalian gammaretrovirus group	46
394503	[Clostridium] cellulolyticum H10	46
455632	Streptomyces griseus subsp. griseus NBRC 13350	46
11786	Murine leukemia virus	45
56956	Thermus brockianus	45
176299	Agrobacterium fabrum str. C58	45
246200	Ruegeria pomeroyi DSS-3	45
257708	Roseomonas gilardii	45
546414	Deinococcus deserti VCD115	45
1300347	Nocardioides dokdonensis FR1436	45
37329	Nocardia farcinica	44
298654	Frankia inefficax	44
502025	Haliangium ochraceum DSM 14365	44
1117	Cyanobacteria	43
1423	Bacillus subtilis	43
479433	Catenulispora acidiphila DSM 44928	43
1075397	Halolamina	43
1111069	Thermus sp. CCB_US3_UF1	43
1390395	Sphingomonas sp. LK11	43
1604004	Halanaeroarchaeum sulfurireducens	43
1671721	Marinobacter sp. CP1	43
1682113	Mycobacterium sp. YC-RL4	43
526225	Geodermatophilus obscurus DSM 43160	42
572544	Ilyobacter polytropus DSM 2926	42
862751	Streptomyces sp. SirexAA-E	42
1196095	Gilliamella apicola	42
1307761	Salinispira pacifica	42
1834519	Fibrella sp. ES10-3-2-2	42
80840	Burkholderiales	41
153135	Gammaretrovirus	41
186817	Bacillaceae	41
460265	Methylobacterium nodulans ORS 2060	41
869212	Turneriella parva DSM 21527	41
1903704	Tumebacillus sp. AR23208	41
80864	Comamonadaceae	40
198107	Azoarcus sp. CIB	40
1133849	Nocardia brasiliensis ATCC 700358	40
1437453	Streptomyces leeuwenhoekii	40
28037	Streptococcus mitis	39
931626	Acetobacterium woodii DSM 1030	39
1915	Streptomyces lincolnensis	38
