TaxID	Lineage	Freq
2263	Thermococcus	497
656024	Frankia symbiont of Datisca glomerata	331
1224	Proteobacteria	159
682795	Granulicella mallensis MP5ACTX8	150
1249661	Burkholderia thailandensis MSMB121	140
2	Bacteria	99
1085624	Persicobacter sp. JZB09	88
452637	Opitutus terrae PB90-1	84
121871	Haloterrigena	82
366602	Caulobacter sp. K31	79
274493	Chlorobium/Pelodictyon group	74
147645	Paracoccus yeei	71
648757	Rhodomicrobium vannielii ATCC 17100	69
1883	Streptomyces	57
1245469	Bradyrhizobium oligotrophicum S58	53
2034	Curtobacterium	51
2209	Methanosarcina mazei	47
188786	Thermaceae	47
1926494	Paraburkholderia sp. SOS3	46
656366	Arthrobacter alpinus	45
1796613	Bacteroides caecimuris	42
573	Klebsiella pneumoniae	39
680198	Streptomyces scabiei 87.22	34
311403	Agrobacterium radiobacter K84	31
1663	Arthrobacter	30
68214	Streptomyces griseochromogenes	27
1690815	Pseudonocardia sp. HH130630-07	27
1763	Mycobacterium	25
709032	Sulfuricurvum kujiense DSM 16994	24
29549	Rhodothermus marinus	22
685727	Rhodococcus hoagii 103S	19
145259	Leptospira biflexa serovar Patoc	18
448385	Sorangium cellulosum So ce56	18
1603606	Desulfuromonas soudanensis	18
1702221	Faecalibaculum rodentium	18
380021	Pseudomonas protegens	17
446462	Actinosynnema mirum DSM 43827	17
526225	Geodermatophilus obscurus DSM 43160	17
87882	Burkholderia cepacia complex	15
164348	Streptomyces puniciscabiei	15
479433	Catenulispora acidiphila DSM 44928	15
1508404	Jeotgalibacillus malaysiensis	15
1760	Actinobacteria	14
40222	Methylophaga	14
75293	Streptomyces autolyticus	14
438753	Azorhizobium caulinodans ORS 571	14
509190	Caulobacter segnis ATCC 21756	14
1264579	Halococcus sediminicola	14
1449976	Kutzneria albida DSM 43870	14
1771959	Arthrobacter sp. ATCC 21022	14
1827	Rhodococcus	13
9606	Homo sapiens	13
77643	Mycobacterium tuberculosis complex	13
571913	Luteipulveratus mongoliensis	13
1182571	Deinococcus swuensis	13
1783515	Streptomyces sp. S10(2016)	13
286	Pseudomonas	12
10116	Rattus norvegicus	12
79883	Bacillus horikoshii	12
1644061	Natrialbaceae	12
1707785	Massilia sp. WG5	12
48	Archangium gephyra	11
2157	Archaea	11
31989	Rhodobacteraceae	11
227882	Streptomyces avermitilis MA-4680 = NBRC 14893	11
228405	Hyphomonas neptunium ATCC 15444	11
317660	Streptomyces sp. F2	11
871963	Desulfitobacterium dichloroeliminans LMG P-21439	11
1205910	Nocardiopsis alba ATCC BAA-2165	11
1228987	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	11
1247726	Advenella mimigardefordensis DPN7	11
246197	Myxococcus xanthus DK 1622	10
290400	Jannaschia sp. CCS1	10
298654	Frankia inefficax	10
590998	Cellulomonas fimi ATCC 484	10
1751294	Streptomyces sp. 4F	10
1879023	Mycobacterium sp. djl-10	10
222	Achromobacter	9
287	Pseudomonas aeruginosa	9
741155	Pseudomonas alcaliphila JAB1	9
1042878	Cupriavidus necator N-1	9
1389489	Leifsonia xyli subsp. cynodontis DSM 46306	9
1849967	Streptomyces sp. SAT1	9
1891926	Fuerstia marisgermanicae	9
1398	Bacillus coagulans	8
1873	Micromonospora	8
1926	Streptomyces reticuli	8
68895	Cupriavidus basilensis	8
131567	cellular organisms	8
237610	Pseudomonas psychrotolerans	8
362257	Streptomyces vietnamensis	8
632772	Rhodococcus opacus B4	8
644966	Thermaerobacter marianensis DSM 12885	8
1003195	Streptomyces cattleya NRRL 8057 = DSM 46488	8
1032480	Microlunatus phosphovorus NM-1	8
407	Methylobacterium	7
543	Enterobacteriaceae	7
161492	Anaeromyxobacter	7
165695	Sphingobium	7
204669	Candidatus Koribacter versatilis Ellin345	7
270351	Methylobacterium aquaticum	7
279058	Collimonas arenae	7
298653	Frankia sp. EAN1pec	7
349221	Micavibrio aeruginosavorus	7
383372	Roseiflexus castenholzii DSM 13941	7
452652	Kitasatospora setae KM-6054	7
479435	Kribbella flavida DSM 17836	7
573370	Desulfovibrio magneticus RS-1	7
675635	Pseudonocardia dioxanivorans CB1190	7
1254432	Sorangium cellulosum So0157-2	7
1334629	Myxococcus fulvus 124B02	7
1348662	Corynebacterium argentoratense DSM 44202	7
1536772	Paenibacillus sp. FSL R7-0273	7
1695218	Paenibacillus sp. 32O-W	7
1783272	Terrabacteria group	7
1	root	6
52	Chondromyces crocatus	6
294	Pseudomonas fluorescens	6
1236	Gammaproteobacteria	6
1847	Pseudonocardia	6
1888	Streptomyces albus	6
1935	Streptomyces violaceoruber	6
28228	Colwellia	6
32008	Burkholderia	6
84022	Clostridium aceticum	6
87883	Burkholderia multivorans	6
319225	Chlorobium luteolum DSM 273	6
342113	Burkholderia oklahomensis	6
378806	Stigmatella aurantiaca DW4/3-1	6
446469	Sanguibacter keddieii DSM 10542	6
456442	Methanoregula boonei 6A8	6
479432	Streptosporangium roseum DSM 43021	6
595537	Variovorax paradoxus EPS	6
649831	Actinoplanes sp. N902-109	6
743718	Isoptericola variabilis 225	6
1082851	Comamonas serinivorans	6
1125847	Rhizobium sp. NT-26	6
1262452	Streptomyces sp. 769	6
1278073	Myxococcus stipitatus DSM 14675	6
1387353	Paludisphaera borealis	6
1404245	Corynebacterium glyciniphilum AJ 3170	6
1842535	Blastomonas sp. RAC04	6
1980001	Cellulosimicrobium sp. TH-20	6
316	Pseudomonas stutzeri	5
506	Alcaligenaceae	5
562	Escherichia coli	5
1907	Streptomyces glaucescens	5
2053	Gordonia	5
12960	Azoarcus	5
28211	Alphaproteobacteria	5
36809	Mycobacterium abscessus	5
47763	Streptomyces lydicus	5
67267	Streptomyces alboflavus	5
68249	Streptomyces pactum	5
68570	Streptomyces albulus	5
103817	Janibacter terrae	5
106589	Cupriavidus	5
114615	Bradyrhizobium sp. ORS 278	5
121292	Pseudarthrobacter sulfonivorans	5
134676	Actinoplanes sp. SE50/110	5
183963	Halobacteria	5
212767	Mycobacterium sp. JS623	5
263358	Verrucosispora maris AB-18-032	5
285473	Streptomyces rubrolavendulae	5
314260	Parvularcula bermudensis HTCC2503	5
395495	Leptothrix cholodnii SP-6	5
444103	Streptomyces sp. CNQ-509	5
479431	Nakamurella multipartita DSM 44233	5
555778	Halothiobacillus neapolitanus c2	5
583345	Methylotenera mobilis JLW8	5
670307	Hyphomicrobium denitrificans 1NES1	5
988812	Marinovum algicola DG 898	5
1121362	Corynebacterium halotolerans YIM 70093 = DSM 44683	5
1144275	Corallococcus coralloides DSM 2259	5
1207504	Burkholderia pseudomultivorans	5
1227499	Natronolimnobius innermongolicus JCM 12255	5
1357279	Pseudomonas syringae CC1557	5
1437874	Corynebacterium sphenisci DSM 44792	5
1697053	Oblitimonas alkaliphila	5
1759059	Caulobacteraceae bacterium OTSz_A_272	5
1972192	Actinomyces sp. pika_114	5
192	Azospirillum brasilense	4
305	Ralstonia solanacearum	4
339	Xanthomonas campestris	4
340	Xanthomonas campestris pv. campestris	4
382	Sinorhizobium meliloti	4
926	Thiomonas intermedia	4
1901	Streptomyces clavuligerus	4
1940	Streptomyces albireticuli	4
2284	Sulfolobus	4
28892	Methanofollis liminatans DSM 4140	4
33910	Amycolatopsis mediterranei	4
37329	Nocardia farcinica	4
40323	Stenotrophomonas	4
61652	Serratia rubidaea	4
78245	Xanthobacter autotrophicus Py2	4
83263	Aminobacter aminovorans	4
106592	Ensifer adhaerens	4
111527	pseudomallei group	4
118062	Methanobacterium congolense	4
179636	Alicycliphilus denitrificans	4
190650	Caulobacter crescentus CB15	4
190721	Ralstonia insidiosa	4
194963	Sinorhizobium americanum	4
216595	Pseudomonas fluorescens SBW25	4
234267	Candidatus Solibacter usitatus Ellin6076	4
292415	Thiobacillus denitrificans ATCC 25259	4
316056	Rhodopseudomonas palustris BisB18	4
326424	Frankia alni ACN14a	4
340345	Actinoalloteichus hymeniacidonis	4
342108	Magnetospirillum magneticum AMB-1	4
365046	Ramlibacter tataouinensis TTB310	4
390235	Pseudomonas putida W619	4
418223	Methylobacterium phyllosphaerae	4
446466	Cellulomonas flavigena DSM 20109	4
453304	Agromyces aureus	4
455632	Streptomyces griseus subsp. griseus NBRC 13350	4
512565	Actinoplanes missouriensis 431	4
530564	Pirellula staleyi DSM 6068	4
545694	Treponema primitia ZAS-2	4
655015	Methylocystis bryophila	4
666685	Rhodanobacter denitrificans	4
688245	Comamonas testosteroni CNB-2	4
700598	Niastella koreensis GR20-10	4
710696	Intrasporangium calvum DSM 43043	4
981323	Gordonia phage GTE2	4
1041522	Mycobacterium colombiense CECT 3035	4
1133849	Nocardia brasiliensis ATCC 700358	4
1202450	Mycobacterium haemophilum DSM 44634	4
1208324	Celeribacter indicus	4
1349767	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628	4
1437605	Bifidobacterium actinocoloniiforme DSM 22766	4
1437824	Castellaniella defragrans 65Phen	4
1561022	Streptomyces sp. CCM_MD2014	4
1630135	Dermabacter vaginalis	4
1659194	Pseudomonas sp. GR 6-02	4
1661694	Streptomyces sp. Tue 6075	4
1674922	Labrenzia sp. CP4	4
1705562	Haloarcula rubripromontorii	4
1795043	Burkholderia sp. PAMC 26561	4
1903186	Brachybacterium sp. P6-10-X1	4
1923444	Shahe picorna-like virus 14	4
1981174	Pseudomonas sp. M30-35	4
642	Aeromonas	3
1184	Leptolyngbya boryana	3
1298	Deinococcus	3
1351	Enterococcus faecalis	3
1678	Bifidobacterium	3
1716	Corynebacterium	3
1791	Mycobacterium aurum	3
1804	Mycobacterium gilvum	3
1915	Streptomyces lincolnensis	3
2182	Methanococcales	3
2251	Haloferax	3
2285	Sulfolobus acidocaldarius	3
32002	Achromobacter denitrificans	3
35806	Rhodovulum sulfidophilum	3
54571	Streptomyces venezuelae	3
80840	Burkholderiales	3
119060	Burkholderiaceae	3
134962	Nocardia soli	3
146923	Streptomyces parvulus	3
157782	Pseudomonas parafulva	3
193462	Streptomyces niveus	3
208439	Amycolatopsis japonica	3
215743	Roseovarius mucosus	3
230089	Photorhabdus temperata subsp. thracensis	3
234612	Streptomyces sp. TN58	3
251229	Chroococcidiopsis thermalis PCC 7203	3
265960	Komagataeibacter nataicola	3
266265	Paraburkholderia xenovorans LB400	3
279238	Novosphingobium aromaticivorans DSM 12444	3
292459	Symbiobacterium thermophilum IAM 14863	3
296591	Polaromonas sp. JS666	3
316284	Streptomyces noursei ATCC 11455	3
338963	Pelobacter carbinolicus DSM 2380	3
351605	Geobacter uraniireducens Rf4	3
365044	Polaromonas naphthalenivorans CJ2	3
367477	Microbacterium sp. XT11	3
369723	Salinispora tropica CNB-440	3
395491	Rhizobium leguminosarum bv. trifolii WSM1325	3
417290	Saccharopolyspora erythraea prophage pSE211	3
439292	[Bacillus] selenitireducens MLS10	3
443143	Geobacter sp. M18	3
445709	Pandoraea thiooxydans	3
446470	Stackebrandtia nassauensis DSM 44728	3
471853	Beutenbergia cavernae DSM 12333	3
483219	Myxococcus fulvus HW-1	3
525146	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	3
543877	Altererythrobacter marensis	3
575540	Isosphaera pallida ATCC 43644	3
593907	Cellulomonas gilvus ATCC 13127	3
640511	Burkholderia sp. CCGE1002	3
649638	Truepera radiovictrix DSM 17093	3
653685	Bacillus subtilis group	3
710421	Mycobacterium chubuense NBB4	3
712122	Actinomyces sp. oral taxon 414	3
765912	Thioflavicoccus mobilis 8321	3
795665	Hydrogenophaga sp. PBC	3
860235	Kibdelosporangium phytohabitans	3
886293	Singulisphaera acidiphila DSM 18658	3
926566	Terriglobus roseus DSM 18391	3
927083	Sandaracinus amylolyticus	3
937777	Deinococcus peraridilitoris DSM 19664	3
945713	Ignavibacterium album JCM 16511	3
999630	Thermoproteus uzoniensis 768-20	3
1109743	Streptomyces sp. SCSIO 03032	3
1172567	Streptomyces globisporus C-1027	3
1198449	Aeropyrum camini SY1 = JCM 12091	3
1210908	Halogranum salarium B-1	3
1214242	Streptomyces collinus Tu 365	3
1224162	Corynebacterium marinum DSM 44953	3
1235591	Pseudorhodoplanes sinuspersici	3
1246995	Actinoplanes friuliensis DSM 7358	3
1297742	Myxococcus hansupus	3
