TaxID	Lineage	Freq
10116	Rattus norvegicus	14941607
314146	Euarchontoglires	3678141
9606	Homo sapiens	1636587
356	Rhizobiales	256697
131567	cellular organisms	76874
1	root	62678
2041	Aeromicrobium erythreum	18317
875328	Mycobacterium sinense	17978
446469	Sanguibacter keddieii DSM 10542	11556
364745	Choristoneura occidentalis granulovirus	10051
948	Anaplasma phagocytophilum	3220
435897	Lysobacter capsici	2045
2	Bacteria	1905
91347	Enterobacterales	1531
590745	Mus musculus mobilized endogenous polytropic provirus	1486
374840	Enterobacteria phage phiX174 sensu lato	1360
11768	Feline leukemia virus	1072
469371	Thermobispora bispora DSM 43833	776
1783272	Terrabacteria group	729
106590	Cupriavidus necator	717
1224	Proteobacteria	697
572544	Ilyobacter polytropus DSM 2926	640
31957	Propionibacteriaceae	635
1127134	Nocardia cyriacigeorgica GUH-2	605
2194	Methanomicrobiaceae	524
75906	Thermocrinis ruber	503
47763	Streptomyces lydicus	430
1763	Mycobacterium	424
353210	Replication competent viruses	418
1445510	Gynuella sunshinyii YC6258	416
1883	Streptomyces	400
543	Enterobacteriaceae	347
573065	Asticcacaulis excentricus CB 48	345
1501	Clostridium pasteurianum	331
75105	Paraburkholderia caribensis	316
1349410	Pandoravirus salinus	291
425104	Shewanella sediminis HAW-EB3	289
272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	281
1236	Gammaproteobacteria	268
889211	Erwinia amylovora ATCC BAA-2158	255
286	Pseudomonas	250
1760	Actinobacteria	244
460265	Methylobacterium nodulans ORS 2060	210
727	Haemophilus influenzae	207
745776	Deinococcus gobiensis I-0	207
222891	Neorickettsia sennetsu str. Miyayama	193
388950	Pontibacter akesuensis	186
419435	Glypta fumiferanae ichnovirus	181
1536770	Paenibacillus sp. FSL R5-0345	169
85413	Bosea	156
1492737	Flavobacterium gilvum	155
303	Pseudomonas putida	148
1386	Bacillus	146
106370	Frankia casuarinae	146
1543721	Sedimenticola thiotaurini	142
1547283	Bacillus weihaiensis	140
262722	Mycoplasma hyopneumoniae 7448	128
1590	Lactobacillus plantarum	125
754035	Mesorhizobium australicum WSM2073	120
1715989	Candidatus Nitrospira inopinata	120
1048245	Mycobacterium canettii CIPT 140010059	116
562	Escherichia coli	115
901	Desulfovibrio piger	112
983548	Dokdonia sp. 4H-3-7-5	110
194966	Salmonella virus SP6	107
179408	Oscillatoria nigro-viridis PCC 7112	106
528244	Azospirillum thiophilum	106
32008	Burkholderia	105
87882	Burkholderia cepacia complex	101
976	Bacteroidetes	99
1827	Rhodococcus	99
266940	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	99
316	Pseudomonas stutzeri	98
498761	Heliobacterium modesticaldum Ice1	95
1935	Streptomyces violaceoruber	91
1408281	Endomicrobium proavitum	90
190893	Vibrio coralliilyticus	88
482957	Burkholderia lata	88
1254432	Sorangium cellulosum So0157-2	88
298654	Frankia inefficax	87
80865	Delftia	84
80840	Burkholderiales	83
86661	Bacillus cereus group	83
1068978	Amycolatopsis methanolica 239	83
1434111	Methanosarcina lacustris Z-7289	83
48	Archangium gephyra	82
2207	Methanosarcina	82
103817	Janibacter terrae	82
693979	Bacteroides helcogenes P 36-108	77
1144275	Corallococcus coralloides DSM 2259	77
294	Pseudomonas fluorescens	76
479433	Catenulispora acidiphila DSM 44928	76
649831	Actinoplanes sp. N902-109	75
12916	Acidovorax	74
479431	Nakamurella multipartita DSM 44233	73
52	Chondromyces crocatus	72
1719	Corynebacterium pseudotuberculosis	70
190721	Ralstonia insidiosa	70
604354	Thermococcus sibiricus MM 739	70
316273	Xanthomonas campestris pv. vesicatoria str. 85-10	69
375	Bradyrhizobium japonicum	68
450851	Phenylobacterium zucineum HLK1	68
222	Achromobacter	67
262	Francisella	66
192952	Methanosarcina mazei Go1	66
287	Pseudomonas aeruginosa	65
738	[Haemophilus] parasuis	65
153135	Gammaretrovirus	65
1129	Synechococcus	64
448385	Sorangium cellulosum So ce56	64
860235	Kibdelosporangium phytohabitans	63
379	Rhizobium	62
593907	Cellulomonas gilvus ATCC 13127	62
595593	Arthrobacter sp. A3	62
2209	Methanosarcina mazei	61
2237	Haloarcula	61
471854	Dyadobacter fermentans DSM 18053	61
35237	dsDNA viruses, no RNA stage	59
754477	Methylophaga frappieri	59
1855726	Burkholderia sp. KK1	59
28211	Alphaproteobacteria	58
706587	Desulfomonile tiedjei DSM 6799	58
1334629	Myxococcus fulvus 124B02	58
642	Aeromonas	57
376489	Halotalea alkalilenta	57
479432	Streptosporangium roseum DSM 43021	57
246195	Dichelobacter nodosus VCS1703A	56
378806	Stigmatella aurantiaca DW4/3-1	56
591019	Staphylothermus hellenicus DSM 12710	56
878220	Chryseobacterium sp. StRB126	56
119060	Burkholderiaceae	55
379066	Gemmatimonas aurantiaca T-27	55
68287	Mesorhizobium	54
326427	Chloroflexus aggregans DSM 9485	54
745310	Sphingomonas sp. MM-1	54
868864	Desulfurobacterium thermolithotrophum DSM 11699	54
1227454	Halobiforma nitratireducens JCM 10879	54
1909395	Nonomuraea sp. ATCC 55076	54
407	Methylobacterium	53
487	Neisseria meningitidis	53
338	Xanthomonas	52
298653	Frankia sp. EAN1pec	52
927083	Sandaracinus amylolyticus	52
983917	Rubrivivax gelatinosus IL144	52
1109743	Streptomyces sp. SCSIO 03032	52
37329	Nocardia farcinica	51
479435	Kribbella flavida DSM 17836	51
1228997	Riemerella anatipestifer RA-CH-1	51
11786	Murine leukemia virus	50
227290	Rhizobium/Agrobacterium group	50
452652	Kitasatospora setae KM-6054	50
44249	Paenibacillus	49
61624	Paenibacillus mucilaginosus	49
80864	Comamonadaceae	49
134676	Actinoplanes sp. SE50/110	49
445710	Dyella thiooxydans	49
