TaxID	Lineage	Freq
314146	Euarchontoglires	16932
10116	Rattus norvegicus	9042
49338	Desulfitobacterium hafniense	574
9606	Homo sapiens	203
1484116	Hymenobacter sp. PAMC 26554	8
106590	Cupriavidus necator	5
572480	Arcobacter nitrofigilis DSM 7299	3
68287	Mesorhizobium	2
1264579	Halococcus sediminicola	2
1	root	1
286	Pseudomonas	1
1492	Clostridium butyricum	1
36805	Microbacterium aurum	1
40323	Stenotrophomonas	1
190650	Caulobacter crescentus CB15	1
502682	Erythrobacter gangjinensis	1
1301098	Pseudomonas knackmussii B13	1
1332264	Tessaracoccus sp. NSG39	1
1408189	Corynebacterium lactis RW2-5	1
1891280	Sulfolobus sp. A20	1
