Sample Accession No.	Pielou's Evennness	Total Viral Read Classified	Top Viral Read Classified
SRR5556575	0.63	35121	 T1virus 
SRR5556578	0.63	19709	 Streptococcus phage 2096.2 
SRR5556574	0.62	89847	 T1virus 
SRR5556579	0.61	19477	 Streptococcus phage 2096.2 
SRR5556577	0.59	19180	 Streptococcus phage 2096.2 
SRR5556576	0.57	17142	 Streptococcus phage 2096.2 
SRR5470958	0.34	30220	 Papio ursinus cytomegalovirus 
SRR5470941	0.33	34123	 Pandoravirus salinus 
SRR5470940	0.33	33321	 Pandoravirus salinus 
ERR1780366	0.33	13132	 Pandoravirus salinus 
ERR1780368	0.33	10073	 Pandoravirus salinus 
SRR5504201	0.27	10955	 Piscine myocarditis-like virus 
SRR5504202	0.27	10576	 Piscine myocarditis-like virus 
SRR5504199	0.26	17966	 Piscine myocarditis-like virus 
SRR5470959	0.25	26377	 Papio ursinus cytomegalovirus 
SRR5141904	0.22	12148	 Broad bean wilt virus 2 
