TaxID	Lineage	Freq
1	root	123261
131567	cellular organisms	23521
1264579	Halococcus sediminicola	15274
2194	Methanomicrobiaceae	15244
682795	Granulicella mallensis MP5ACTX8	11582
448385	Sorangium cellulosum So ce56	7249
1702287	Negativicoccus massiliensis	6541
2263	Thermococcus	5270
374840	Enterobacteria phage phiX174 sensu lato	4514
145261	Methanothermobacter wolfeii	2660
87883	Burkholderia multivorans	2426
469371	Thermobispora bispora DSM 43833	1975
1584	Lactobacillus delbrueckii	1288
1455609	Haloterrigena jeotgali A29	1119
710696	Intrasporangium calvum DSM 43043	1053
1805714	Christensenella massiliensis	992
87882	Burkholderia cepacia complex	931
1480675	Halolamina sediminis	811
1267753	Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992	808
648757	Rhodomicrobium vannielii ATCC 17100	718
2301	Thermoplasmatales	692
1796613	Bacteroides caecimuris	611
28890	Euryarchaeota	430
1404245	Corynebacterium glyciniphilum AJ 3170	399
118126	Methanoculleus chikugoensis	392
2	Bacteria	391
652103	Rhodopseudomonas palustris DX-1	343
183963	Halobacteria	326
147645	Paracoccus yeei	311
1707785	Massilia sp. WG5	300
56688	Halorubrum	283
83986	Methanoculleus bourgensis	283
709032	Sulfuricurvum kujiense DSM 16994	245
824	Campylobacter gracilis	230
1082851	Comamonas serinivorans	222
562	Escherichia coli	194
1933880	Glutamicibacter halophytocola	188
1917485	Sulfitobacter sp. AM1-D1	186
145458	Rathayibacter toxicus	183
1224	Proteobacteria	178
192	Azospirillum brasilense	162
1768242	Paucibacter sp. KCTC 42545	157
246197	Myxococcus xanthus DK 1622	149
1926	Streptomyces reticuli	148
2034	Curtobacterium	141
1883	Streptomyces	140
640132	Segniliparus rotundus DSM 44985	140
298653	Frankia sp. EAN1pec	129
765869	Bdellovibrio bacteriovorus W	129
243090	Rhodopirellula baltica SH 1	122
101571	Burkholderia ubonensis	116
314260	Parvularcula bermudensis HTCC2503	114
1249661	Burkholderia thailandensis MSMB121	114
1842535	Blastomonas sp. RAC04	111
37332	Nocardia seriolae	110
