TaxID	Lineage	Freq
10116	Rattus norvegicus	528292
314146	Euarchontoglires	65169
1	root	64147
131567	cellular organisms	38167
1667587	Papio ursinus cytomegalovirus	17545
1036672	Advenella kashmirensis WT001	15026
771875	Fervidobacterium pennivorans DSM 9078	14815
1360	Lactococcus lactis subsp. lactis	10113
9606	Homo sapiens	9454
2	Bacteria	7359
1349410	Pandoravirus salinus	3351
179408	Oscillatoria nigro-viridis PCC 7112	3032
192952	Methanosarcina mazei Go1	2627
75105	Paraburkholderia caribensis	2243
243275	Treponema denticola ATCC 35405	2141
86106	endosymbiont of Acanthamoeba sp. UWC8	1799
1224	Proteobacteria	1691
697303	Thermoanaerobacter wiegelii Rt8.B1	1367
419435	Glypta fumiferanae ichnovirus	1302
1458985	Moorea producens PAL-8-15-08-1	1142
1547283	Bacillus weihaiensis	1033
1236	Gammaproteobacteria	1026
1358	Lactococcus lactis	948
511	Alcaligenes faecalis	846
463025	Bordetella bronchialis	789
28197	Arcobacter butzleri	753
1940762	Nostocales cyanobacterium HT-58-2	698
573370	Desulfovibrio magneticus RS-1	692
471854	Dyadobacter fermentans DSM 18053	678
316275	Aliivibrio salmonicida LFI1238	655
2207	Methanosarcina	646
28871	Taterapox virus	628
75906	Thermocrinis ruber	617
1933907	Bartonella sp. JB63	609
1434111	Methanosarcina lacustris Z-7289	576
1491	Clostridium botulinum	562
1386	Bacillus	549
28450	Burkholderia pseudomallei	547
727	Haemophilus influenzae	532
880073	Caldithrix abyssi DSM 13497	515
861360	Glutamicibacter arilaitensis Re117	499
106370	Frankia casuarinae	469
315358	Spiroplasma eriocheiris	468
1239	Firmicutes	463
1485	Clostridium	455
1462996	Paenibacillus yonginensis	454
867902	Ornithobacterium rhinotracheale DSM 15997	451
1752063	Fischerella sp. NIES-3754	445
487	Neisseria meningitidis	442
86661	Bacillus cereus group	430
878220	Chryseobacterium sp. StRB126	428
286	Pseudomonas	419
562	Escherichia coli	416
976	Bacteroidetes	412
1798085	Piscine myocarditis-like virus	391
592029	Nonlabens dokdonensis DSW-6	384
1129794	Paraglaciecola psychrophila 170	367
46021	Paramecium bursaria Chlorella virus NY2A	360
1783272	Terrabacteria group	358
210	Helicobacter pylori	356
743722	Sphingobacterium sp. 21	353
1170562	Calothrix sp. PCC 6303	350
85413	Bosea	343
194	Campylobacter	335
1834196	Lachnoclostridium sp. YL32	331
1191459	Flammeovirga sp. MY04	325
543	Enterobacteriaceae	323
880447	Mycoplasma leachii PG50	317
44000	Caldicellulosiruptor	315
712	Pasteurellaceae	308
1349409	Pandoravirus dulcis	305
1624	Lactobacillus salivarius	296
75985	Mannheimia haemolytica	290
1227454	Halobiforma nitratireducens JCM 10879	285
35237	dsDNA viruses, no RNA stage	277
1903686	Jeotgalibaca sp. PTS2502	277
1492	Clostridium butyricum	274
64895	Borreliella	271
1238	Piscirickettsia salmonis	270
265522	Hyposoter fugitivus ichnovirus	265
76123	Prevotella enoeca	264
44249	Paenibacillus	263
1167006	Desulfocapsa sulfexigens DSM 10523	260
526224	Brachyspira murdochii DSM 12563	253
639282	Deferribacter desulfuricans SSM1	248
1883	Streptomyces	240
572544	Ilyobacter polytropus DSM 2926	238
1117	Cyanobacteria	236
693979	Bacteroides helcogenes P 36-108	234
29575	Taylorella equigenitalis	231
266940	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	228
1280	Staphylococcus aureus	227
1496	Clostridioides difficile	227
2371	Xylella fastidiosa	227
1685010	Chryseobacterium sp. IHB B 10212	227
44577	Nitrosomonas ureae	224
425104	Shewanella sediminis HAW-EB3	222
1228997	Riemerella anatipestifer RA-CH-1	222
1428	Bacillus thuringiensis	221
1502	Clostridium perfringens	218
1534	Clostridium kluyveri	218
1301	Streptococcus	217
1763	Mycobacterium	217
1434100	Methanosarcina sp. MTP4	217
1306519	Flavobacterium sp. PK15	215
469	Acinetobacter	207
996	Flavobacterium columnare	203
1288	Staphylococcus xylosus	203
47311	Methanobrevibacter cuticularis	201
49547	Methanobrevibacter curvatus	201
584	Proteus mirabilis	200
661478	Fimbriimonas ginsengisoli Gsoil 348	199
1605721	Pandoravirus inopinatum	197
199441	Bacillus krulwichiae	196
860228	Capnocytophaga canimorsus Cc5	196
470	Acinetobacter baumannii	195
880071	Bernardetia litoralis DSM 6794	195
1850252	Tenacibaculum sp. LPB0136	194
944547	Arcobacter sp. L	192
1606016	Elizabethkingia endophytica	190
579137	Methanocaldococcus vulcanius M7	189
