TaxID	CLARK	Kaiju	Kraken	CLARK-S	Scientific Name
1002918	NA	10	NA	NA	Simian sapelovirus 1
10116	1717	13992	1705	12819	Rattus norvegicus
101564	5	NA	NA	1	Pseudomonas alcaliphila
10359	NA	1	NA	NA	Human betaherpesvirus 5
1042878	NA	1	NA	NA	Cupriavidus necator N-1
105219	NA	1	NA	NA	Ralstonia mannitolilytica
1069082	NA	20	NA	NA	Halomicrobium katesii DSM 19301
1074863	NA	1	NA	NA	Bat picornavirus 1
1074864	NA	28	NA	NA	Bat picornavirus 2
1074865	NA	352	NA	NA	Bat picornavirus 3
1076	2	1	NA	2	Rhodopseudomonas palustris
1079	39	NA	20	NA	Blastochloris viridis
1080068	NA	1	NA	NA	Leptolyngbya sp. O-77
1089138	NA	2	NA	NA	Quail picornavirus QPV1/HUN/2010
110662	NA	4	NA	NA	Synechococcus sp. CC9605
1107	NA	1	NA	NA	Chloroflexus
1108810	NA	536	NA	NA	Feline picornavirus
1109743	NA	1	NA	NA	Streptomyces sp. SCSIO 03032
1112204	NA	3	NA	NA	Gordonia polyisoprenivorans VH2
1118964	NA	1	NA	NA	Mycoplasma hyorhinis SK76
1123519	NA	1	NA	NA	Pseudomonas stutzeri DSM 10701
1125847	1	NA	NA	NA	Rhizobium sp. NT-26
1150861	NA	2	NA	NA	Canine picodicistrovirus
1173025	NA	1	NA	NA	Geitlerinema sp. PCC 7407
1178516	NA	1	NA	NA	Spirosoma montaniterrae
1193974	NA	1819	NA	NA	Human enterovirus
1196647	NA	1	NA	NA	Canine picornavirus
12058	NA	4570	NA	NA	Picornaviridae
12059	NA	1563	NA	NA	Enterovirus
1210908	NA	2	NA	NA	Halogranum salarium B-1
12131	NA	73803	NA	NA	Human rhinovirus B14
1223566	NA	1	NA	NA	Bradyrhizobium sp. CCGE-LA001
1239	NA	2	NA	NA	Firmicutes
1245469	NA	2	NA	NA	Bradyrhizobium oligotrophicum S58
1249634	NA	2	NA	NA	Serratia marcescens FGI94
1262452	NA	1	NA	NA	Streptomyces sp. 769
1264579	NA	10	NA	NA	Halococcus sediminicola
1267562	NA	5	NA	NA	Cupriavidus gilardii CR3
1267766	NA	1	NA	NA	Altererythrobacter atlanticus
1268	NA	1	NA	NA	Micrococcaceae
1274631	NA	2	NA	NA	Bradyrhizobium icense
1282	1	NA	NA	1	Staphylococcus epidermidis
128780	NA	7	NA	NA	Stenotrophomonas acidaminiphila
1300344	NA	1	NA	NA	Isoptericola dokdonensis DS-3
1313172	NA	1	NA	NA	Ilumatobacter coccineus YM16-304
131567	NA	776	NA	NA	cellular organisms
1315974	NA	1	NA	NA	Sphingobium sp. TKS
1330521	NA	2523	NA	NA	Enterovirus J
1337877	3449	NA	NA	4352	Paenibacillus phage phiIBB_Pl23
1348114	NA	2	NA	NA	Pseudoalteromonas sp. OCN003
1349767	NA	1	NA	NA	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628
13687	NA	4	NA	NA	Sphingomonas
1376	NA	1	NA	NA	Aerococcus urinae
138948	NA	3	66	NA	Enterovirus A
138949	NA	597	NA	NA	Enterovirus B
138950	NA	497	NA	NA	Enterovirus C
138951	NA	1918	NA	NA	Enterovirus D
1404	NA	1	NA	NA	Bacillus megaterium
1408281	NA	1	NA	NA	Endomicrobium proavitum
1434123	NA	1	NA	NA	Methanosarcina vacuolata Z-761
1437605	NA	1	NA	NA	Bifidobacterium actinocoloniiforme DSM 22766
1449976	NA	1	NA	NA	Kutzneria albida DSM 43870
145261	NA	14	NA	NA	Methanothermobacter wolfeii
1455609	NA	8	NA	NA	Haloterrigena jeotgali A29
1457153	NA	1	NA	NA	Chlamydia gallinacea
1471542	NA	1	NA	NA	Mycobacterium phage MosMoris
147711	NA	443	NA	NA	Rhinovirus A
147712	NA	NA	3326	NA	Rhinovirus B
1483602	NA	2	NA	NA	Methanosarcina sp. 1.H.T.1A.1
150829	1	NA	NA	NA	Treponema azotonutricium
1525	NA	1	NA	NA	Moorella thermoacetica
1536769	NA	1	NA	NA	Paenibacillus sp. FSL P4-0081
1564506	NA	1	NA	NA	Rhodovulum sp. P5
157783	NA	3	NA	NA	Pseudomonas cremoricolorata
161492	NA	1	NA	NA	Anaeromyxobacter
1618207	NA	2	NA	NA	Arthrobacter sp. IHBB 11108
161896	NA	1	NA	NA	Corynebacterium camporealensis
1630693	5	NA	NA	NA	Gemmata sp. SH-PL17
1632864	NA	1	NA	NA	Planctomyces sp. SH-PL14
1650660	NA	1	NA	NA	Vulcanisaeta sp. EB80
1678128	1	NA	NA	NA	Limnohabitans sp. 63ED37-2
1702287	8	31	31	NA	Negativicoccus massiliensis
1736675	6	NA	NA	NA	Devosia sp. A16
1752064	NA	1	NA	NA	Leptolyngbya sp. NIES-3755
1760	NA	1	NA	NA	Actinobacteria
1805714	23	12	88	NA	Christensenella massiliensis
1813	NA	1	NA	NA	Amycolatopsis
1821621	NA	1	NA	NA	Marinobacterium sp. ST58-10
1826059	NA	2	NA	NA	Enterovirus SEV-gx
1841249	NA	1	NA	NA	Streptomyces sp. RTd22
1841863	1	NA	NA	NA	Gordonibacter massiliensis
1847	NA	1	NA	NA	Pseudonocardia
1849328	NA	1	NA	NA	Enterovirus goat/JL14
1853130	1	NA	NA	NA	Pseudomonas sp. A3(2016)
1883	NA	1	NA	NA	Streptomyces
1898684	41	17	41	40	Pseudomonas sp. LPH1
1901	NA	1	NA	NA	Streptomyces clavuligerus
1903412	NA	1	NA	NA	Hafniaceae
1907	NA	10	NA	NA	Streptomyces glaucescens
1926	NA	1	NA	NA	Streptomyces reticuli
1933906	1	NA	NA	NA	Bartonella sp. JB15
1933907	NA	35	NA	NA	Bartonella sp. JB63
193462	NA	1	NA	NA	Streptomyces niveus
197	9	NA	NA	NA	Campylobacter jejuni
2004	NA	1	NA	NA	Streptosporangiaceae
2041	NA	1	NA	NA	Aeromicrobium erythreum
204457	NA	2	NA	NA	Sphingomonadales
2045	NA	3	NA	NA	Pimelobacter simplex
212035	2	NA	NA	NA	Acanthamoeba polyphaga mimivirus
2157	NA	56	NA	NA	Archaea
2173	46	NA	NA	77	Methanobrevibacter smithii
2207	NA	23	NA	NA	Methanosarcina
2209	NA	593	NA	NA	Methanosarcina mazei
221988	NA	1	NA	NA	Mannheimia succiniciproducens MBEL55E
222136	NA	1	NA	NA	Helicobacter sp. MIT 01-6242
2235	NA	1	NA	NA	Halobacteriales
224756	NA	1	NA	NA	Methanomicrobia
225848	NA	1	NA	NA	Shewanella psychrophila
227290	NA	6	NA	NA	Rhizobium/Agrobacterium group
2285	NA	60	NA	NA	Sulfolobus acidocaldarius
2371	12	2	NA	NA	Xylella fastidiosa
246969	NA	1	NA	NA	Thermococcus sp. AM4
247523	NA	2	NA	NA	Pseudoalteromonas aliena
251221	NA	1	NA	NA	Gloeobacter violaceus PCC 7421
263531	NA	1	NA	NA	Possum enterovirus W1
264445	NA	1	NA	NA	Streptomyces hygroscopicus subsp. limoneus
272123	NA	1	NA	NA	Anabaena cylindrica PCC 7122
272558	NA	1	NA	NA	Bacillus halodurans C-125
272624	NA	6	NA	NA	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
28211	NA	214	NA	NA	Alphaproteobacteria
286	NA	61	NA	NA	Pseudomonas
287	20	NA	NA	1	Pseudomonas aeruginosa
288000	1	1	NA	1	Bradyrhizobium sp. BTAi1
288681	NA	1	NA	NA	Bacillus cereus E33L
28890	NA	2	NA	NA	Euryarchaeota
294	2	NA	87	NA	Pseudomonas fluorescens
29449	1	NA	NA	NA	Rhizobium etli
29542	NA	33	NA	NA	Pelobacter acetylenicus
296591	1	NA	NA	NA	Polaromonas sp. JS666
300	19	NA	19	2	Pseudomonas mendocina
310907	NA	2	NA	NA	Enterovirus H
312540	NA	3	NA	NA	Acidiplasma cupricumulans
314146	NA	2519	NA	NA	Euarchontoglires
314275	11	NA	31	1	Alteromonas mediterranea
314722	31	NA	33	20	Pseudoxanthomonas suwonensis
316055	NA	1	NA	NA	Rhodopseudomonas palustris BisA53
316056	NA	1	NA	NA	Rhodopseudomonas palustris BisB18
317	1	NA	NA	NA	Pseudomonas syringae
31989	NA	1	NA	NA	Rhodobacteraceae
323097	NA	1	NA	NA	Nitrobacter hamburgensis X14
329	23	NA	23	7	Ralstonia pickettii
330	22	10	22	1	Pseudomonas pseudoalcaligenes
338966	NA	1	NA	NA	Pelobacter propionicus DSM 2379
349221	NA	1	NA	NA	Micavibrio aeruginosavorus
35296	NA	2013	NA	NA	unclassified Picornaviridae
357	NA	8	NA	NA	Agrobacterium
359	13	14	13	24	Agrobacterium rhizogenes
364745	NA	1068	NA	NA	Choristoneura occidentalis granulovirus
366394	NA	1	NA	NA	Sinorhizobium medicae WSM419
367189	304	NA	NA	NA	Haladaptatus paucihalophilus
369723	NA	1	NA	NA	Salinispora tropica CNB-440
370323	7	NA	NA	NA	Haloterrigena limicola
373994	NA	2	NA	NA	Rivularia sp. PCC 7116
374	NA	2	NA	NA	Bradyrhizobium
384676	NA	1	NA	NA	Pseudomonas entomophila L48
395492	NA	4	NA	NA	Rhizobium leguminosarum bv. trifolii WSM2304
39960	NA	1	NA	NA	Erythrobacter litoralis
403833	NA	1	NA	NA	Petrotoga mobilis SJ95
403957	NA	1	NA	NA	Virgibacillus sp. SK37
446466	NA	1	NA	NA	Cellulomonas flavigena DSM 20109
450851	NA	1	NA	NA	Phenylobacterium zucineum HLK1
451	NA	2	NA	NA	Tatlockia micdadei
45243	NA	1	NA	NA	Capnocytophaga haemolytica
45989	NA	1	NA	NA	Methanoculleus
463676	NA	2	NA	NA	Rhinovirus C
464095	NA	10	NA	NA	Picornavirales
469371	NA	3	NA	NA	Thermobispora bispora DSM 43833
471854	NA	1	NA	NA	Dyadobacter fermentans DSM 18053
47681	NA	1	NA	NA	Enterovirus sp.
479435	NA	4	NA	NA	Kribbella flavida DSM 17836
483219	NA	1	NA	NA	Myxococcus fulvus HW-1
492670	NA	1	NA	NA	Bacillus velezensis
498761	NA	1	NA	NA	Heliobacterium modesticaldum Ice1
507754	148	NA	NA	10	Acidiplasma aeolicum
521	4	NA	NA	NA	Bordetella avium
528191	NA	1	NA	NA	Paenibacillus xylanexedens
530564	NA	1	NA	NA	Pirellula staleyi DSM 6068
54262	6	NA	NA	NA	Thermococcus chitonophagus
571915	NA	1	NA	NA	Corynebacterium mustelae
582	NA	1	NA	NA	Morganella morganii
64141	NA	3	NA	NA	Porcine enterovirus 9
644282	NA	1	NA	NA	Desulfarculus baarsii DSM 2075
644295	NA	1	NA	NA	Methanohalobium evestigatum Z-7303
644966	NA	1	NA	NA	Thermaerobacter marianensis DSM 12885
649831	NA	1	NA	NA	Actinoplanes sp. N902-109
653045	NA	1	NA	NA	Streptomyces violaceusniger Tu 4113
656024	NA	1	NA	NA	Frankia symbiont of Datisca glomerata
669041	NA	1	NA	NA	Tenacibaculum dicentrarchi
671223	NA	1	NA	NA	Propionibacterium sp. oral taxon 193
68570	5	NA	NA	2	Streptomyces albulus
698738	NA	1	NA	NA	Oleispira antarctica RB-8
698968	NA	1	NA	NA	Corynebacterium diphtheriae HC02
699035	NA	1	NA	NA	Clostridioides difficile M120
70255	1	NA	NA	NA	Staphylococcus condimenti
710685	NA	1	NA	NA	Mycobacterium rhodesiae NBB3
71518	21	NA	NA	NA	Methanocorpusculum bavaricum
71999	17	1	17	6	Kocuria palustris
759620	1	NA	NA	NA	Weissella ceti
767031	NA	1	NA	NA	Prevotella denticola F0289
80854	NA	9	NA	NA	Moritella viscosa
81479	2	NA	NA	NA	Rhodoferax antarcticus
83986	NA	5	NA	NA	Methanoculleus bourgensis
84531	NA	1	NA	NA	Lysobacter antibioticus
869212	NA	1	NA	NA	Turneriella parva DSM 21527
