TaxID	CLARK	Kaiju	Kraken
1	NA	33	NA
1002918	NA	10	NA
10116	1717	13992	1705
101564	5	NA	NA
10359	NA	1	NA
1042878	NA	1	NA
105219	NA	1	NA
1069082	NA	20	NA
1074863	NA	1	NA
1074864	NA	28	NA
1074865	NA	352	NA
1076	2	1	NA
1079	39	NA	20
1080068	NA	1	NA
1089138	NA	2	NA
110662	NA	4	NA
1107	NA	1	NA
1108810	NA	536	NA
1109743	NA	1	NA
1112204	NA	3	NA
1118964	NA	1	NA
1123519	NA	1	NA
1125847	1	NA	NA
1150861	NA	2	NA
1173025	NA	1	NA
1178516	NA	1	NA
1193974	NA	1819	NA
1196647	NA	1	NA
12058	NA	4570	NA
12059	NA	1563	NA
1210908	NA	2	NA
12131	NA	73803	NA
1223566	NA	1	NA
1239	NA	2	NA
1245469	NA	2	NA
1249634	NA	2	NA
1262452	NA	1	NA
1264579	NA	10	NA
1267562	NA	5	NA
1267766	NA	1	NA
1268	NA	1	NA
1274631	NA	2	NA
1282	1	NA	NA
128780	NA	7	NA
1300344	NA	1	NA
1313172	NA	1	NA
131567	NA	776	NA
1315974	NA	1	NA
1330521	NA	2523	NA
1337877	3449	NA	NA
1348114	NA	2	NA
1349767	NA	1	NA
13687	NA	4	NA
1376	NA	1	NA
138948	NA	3	66
138949	NA	597	NA
138950	NA	497	NA
138951	NA	1918	NA
1404	NA	1	NA
1408281	NA	1	NA
1434123	NA	1	NA
1437605	NA	1	NA
1449976	NA	1	NA
145261	NA	14	NA
1455609	NA	8	NA
1457153	NA	1	NA
1471542	NA	1	NA
147711	NA	443	NA
147712	NA	NA	3326
1483602	NA	2	NA
150829	1	NA	NA
1525	NA	1	NA
1536769	NA	1	NA
1564506	NA	1	NA
157783	NA	3	NA
161492	NA	1	NA
1618207	NA	2	NA
161896	NA	1	NA
1630693	5	NA	NA
1632864	NA	1	NA
1650660	NA	1	NA
1678128	1	NA	NA
1702287	8	31	31
1736675	6	NA	NA
1752064	NA	1	NA
1760	NA	1	NA
1805714	23	12	88
1813	NA	1	NA
1821621	NA	1	NA
1826059	NA	2	NA
1841249	NA	1	NA
1841863	1	NA	NA
1847	NA	1	NA
1849328	NA	1	NA
1853130	1	NA	NA
1883	NA	1	NA
1898684	41	17	41
1901	NA	1	NA
1903412	NA	1	NA
1907	NA	10	NA
1926	NA	1	NA
1933906	1	NA	NA
1933907	NA	35	NA
193462	NA	1	NA
197	9	NA	NA
2004	NA	1	NA
2041	NA	1	NA
204457	NA	2	NA
2045	NA	3	NA
212035	2	NA	NA
2157	NA	56	NA
2173	46	NA	NA
2207	NA	23	NA
2209	NA	593	NA
221988	NA	1	NA
222136	NA	1	NA
2235	NA	1	NA
224756	NA	1	NA
225848	NA	1	NA
227290	NA	6	NA
2285	NA	60	NA
2371	12	2	NA
246969	NA	1	NA
247523	NA	2	NA
251221	NA	1	NA
263531	NA	1	NA
264445	NA	1	NA
272123	NA	1	NA
272558	NA	1	NA
272624	NA	6	NA
28211	NA	214	NA
286	NA	61	NA
287	20	NA	NA
288000	1	1	NA
288681	NA	1	NA
28890	NA	2	NA
294	2	NA	87
29449	1	NA	NA
29542	NA	33	NA
296591	1	NA	NA
300	19	NA	19
310907	NA	2	NA
312540	NA	3	NA
314146	NA	2519	NA
314275	11	NA	31
314722	31	NA	33
316055	NA	1	NA
316056	NA	1	NA
317	1	NA	NA
31989	NA	1	NA
323097	NA	1	NA
329	23	NA	23
330	22	10	22
338966	NA	1	NA
349221	NA	1	NA
35296	NA	2013	NA
357	NA	8	NA
359	13	14	13
364745	NA	1068	NA
366394	NA	1	NA
367189	304	NA	NA
369723	NA	1	NA
370323	7	NA	NA
373994	NA	2	NA
374	NA	2	NA
384676	NA	1	NA
395492	NA	4	NA
39960	NA	1	NA
403833	NA	1	NA
403957	NA	1	NA
446466	NA	1	NA
450851	NA	1	NA
451	NA	2	NA
45243	NA	1	NA
45989	NA	1	NA
463676	NA	2	NA
464095	NA	10	NA
469371	NA	3	NA
471854	NA	1	NA
47681	NA	1	NA
479435	NA	4	NA
483219	NA	1	NA
492670	NA	1	NA
498761	NA	1	NA
507754	148	NA	NA
521	4	NA	NA
528191	NA	1	NA
530564	NA	1	NA
54262	6	NA	NA
571915	NA	1	NA
582	NA	1	NA
64141	NA	3	NA
644282	NA	1	NA
644295	NA	1	NA
644966	NA	1	NA
649831	NA	1	NA
653045	NA	1	NA
656024	NA	1	NA
669041	NA	1	NA
671223	NA	1	NA
68570	5	NA	NA
698738	NA	1	NA
698968	NA	1	NA
699035	NA	1	NA
70255	1	NA	NA
710685	NA	1	NA
71518	21	NA	NA
71999	17	1	17
759620	1	NA	NA
767031	NA	1	NA
80854	NA	9	NA
81479	2	NA	NA
83986	NA	5	NA
84531	NA	1	NA
869212	NA	1	NA
875328	NA	1	NA
880072	NA	1	NA
901	NA	2	NA
921	2	NA	NA
928289	NA	2191	NA
936456	1	NA	NA
942	NA	1	NA
94695	NA	1	NA
9606	83882	23962	83858
