TaxID	Scientific Name	CLARK	Kaiju	Kraken
1	root	NA	189382	NA
10	Cellvibrio	NA	8	NA
1000561	Pseudomonas aeruginosa AES-1R	NA	2	NA
1001585	Pseudomonas mendocina NK-01	NA	12	NA
1001989	Escherichia coli PCN033	NA	1	NA
100226	Streptomyces coelicolor A3(2)	NA	3	NA
1002672	Candidatus Pelagibacter sp. IMCC9063	6	9	NA
1002804	Helicobacter bizzozeronii CIII-1	NA	1	NA
1002809	Solibacillus silvestris StLB046	NA	8	NA
1003110	Verrucosispora maris	5	NA	NA
1003195	Streptomyces cattleya NRRL 8057 = DSM 46488	NA	24	NA
1004788	Alteromonas macleodii str. 'English Channel 673'	NA	4	NA
1004951	Streptococcus suis ST1	NA	13	NA
1004952	Streptococcus suis D12	NA	44	NA
1005039	Fimbriimonas ginsengisoli	2	NA	NA
1005041	Streptococcus suis SS12	NA	5	NA
1005042	Streptococcus suis D9	NA	8	NA
1005048	Collimonas fungivorans Ter331	NA	9	NA
1005057	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	NA	3	NA
1005058	Gallibacterium anatis UMN179	NA	726	NA
1005090	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	NA	1	NA
1006	Marivirga tractuosa	36	NA	23
1006006	Metallosphaera cuprina Ar-4	NA	1	NA
1006007	Bacillus megaterium WSH-002	NA	3	NA
1006551	Klebsiella michiganensis KCTC 1686	NA	1	NA
1006576	Defluviitoga tunisiensis	NA	24	NA
1006581	Mycoplasma gallisepticum S6	NA	7	NA
1007105	Pusillimonas sp. T7-7	20	39	19
100716	Chloroherpeton thalassium	8	NA	NA
1007676	Lactobacillus ginsenosidimutans	6	51	NA
1008	Saprospira grandis	22	NA	11
1008153	Halalkalicoccus paucihalophilus	NA	7	NA
1008459	Taylorella asinigenitalis MCE3	NA	27	NA
1009464	Gardnerella vaginalis HMP9231	NA	1	NA
1009846	Burkholderia cepacia GG4	NA	6	NA
10116	Rattus norvegicus	17623	82	16158
101385	Aequorivita sublithincola	29	NA	26
1014	Weeksella virosa	29	NA	22
101510	Rhodococcus jostii RHA1	NA	6	NA
101564	Pseudomonas alcaliphila	2	NA	NA
101571	Burkholderia ubonensis	9	17	NA
1016	Capnocytophaga	NA	13099	NA
1018	Capnocytophaga ochracea	2350	NA	3245
102116	Stanieria cyanosphaera	1	NA	NA
102134	Desulfotomaculum gibsoniae	6	NA	NA
10239	Viruses	NA	55	NA
10256	Raccoonpox virus	NA	2	NA
10258	Orf virus	NA	2	NA
10261	Fowlpox virus	NA	1	NA
102684	Streptococcus infantarius	78	11	80
10273	Myxoma virus	NA	1	NA
1028416	Psychrobacter sp. DAB_AL43B	11	46	NA
1028800	Neorhizobium galegae bv. orientalis str. HAMBI 540	NA	2	NA
1028801	Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141	NA	3	NA
1028989	Pseudomonas sp. StFLB209	7	28	NA
10294	Simplexvirus	NA	1	NA
1029718	Candidatus Arthromitus sp. SFB-mouse-Japan	NA	1	NA
1029756	Hyphomicrobium nitrativorans NL23	NA	7	NA
1030157	Sphingomonas sp. KC8	NA	23	NA
1030843	Porphyromonas gingivalis TDC60	NA	314	NA
1031536	Campylobacter lari subsp. concheus LMG 11760	NA	4	NA
1031542	Campylobacter volucris	4	NA	NA
1031564	Campylobacter insulaenigrae NCTC 12927	NA	11	NA
1031709	Propionibacterium acnes 6609	NA	1	NA
1031746	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	NA	5	NA
1032069	Campylobacter ureolyticus RIGS 9880	NA	60	NA
1032480	Microlunatus phosphovorus NM-1	NA	46	NA
1033806	Halorhabdus tiamatea SARL4B	NA	6	NA
1033837	Lactobacillus kefiranofaciens ZW3	NA	19	NA
1033846	Marinobacter adhaerens	1	NA	NA
1033854	Thioalkalivibrio sulfidiphilus	13	NA	NA
1033991	Rhizobium leguminosarum bv. trifolii CB782	NA	14	NA
1034807	Flavobacterium branchiophilum FL-15	NA	201	NA
1036172	Arcobacter butzleri 7h1h	NA	6	NA
10366	Murid betaherpesvirus 1	NA	3	NA
1036672	Advenella kashmirensis WT001	NA	33	NA
1036673	Paenibacillus mucilaginosus KNP414	NA	2	NA
103690	Nostoc sp. PCC 7120	9	9	NA
10372	Human betaherpesvirus 7	NA	14	18
103731	Saccharothrix espanaensis	10	NA	10
10376	Human gammaherpesvirus 4	NA	2	NA
1037911	Pseudomonas fluorescens A506	NA	3	NA
103796	Pseudomonas syringae pv. actinidiae	NA	3	NA
10381	Saimiriine gammaherpesvirus 2	NA	1	NA
103816	Rhodococcus pyridinivorans	1	NA	NA
103817	Janibacter terrae	20	21	18
103855	Bordetella hinzii	17	4	15
1038856	Planococcus plakortidis	NA	8	NA
1038927	Escherichia coli O104:H4	NA	1	NA
104	Cyclobacterium marinum	2	NA	NA
104087	Pseudomonas frederiksbergensis	10	6	10
1041	Erythrobacter	NA	1	NA
1041504	Candidatus Arthromitus sp. SFB-rat-Yit	9	28	NA
1041826	Flavobacterium columnare ATCC 49512	NA	16	NA
1041930	Methanocella conradii HZ254	NA	5	NA
1042156	Clostridium sp. SY8519	17	237	15
1042163	Brevibacillus laterosporus LMG 15441	NA	44	NA
1042417	Brachyspira pilosicoli P43/6/78	NA	2	NA
104264	Cellulophaga	NA	79	NA
104267	Tenacibaculum	NA	8	NA
1042877	Thermococcus sp. 4557	NA	5	NA
1042878	Cupriavidus necator N-1	NA	14	NA
104388	Anatid alphaherpesvirus 1	NA	1	NA
1045808	Rhodococcus sp. YL-1	NA	2	NA
1045854	Weissella koreensis KACC 15510	NA	13	NA
1045855	Pseudoxanthomonas spadix BD-a59	NA	5	NA
1045858	Brachyspira intermedia PWS/A	NA	16	NA
1046	Chromatiaceae	NA	10	NA
1046624	Lactococcus lactis subsp. lactis IO-1	NA	4	NA
1048245	Mycobacterium canettii CIPT 140010059	NA	4	NA
1048260	Leptospirillum ferriphilum ML-04	NA	1	NA
1048332	Streptococcus salivarius CCHSS3	NA	115	NA
10486	Iridoviridae	NA	1	NA
