TaxID	Scientific Name	CLARK	Kaiju	Kraken
1	root	NA	7794	NA
1001585	Pseudomonas mendocina NK-01	NA	NA	NA
1003110	Verrucosispora maris	NA	NA	NA
10116	Rattus norvegicus	4722	95806	4674
101564	Pseudomonas alcaliphila	NA	NA	NA
101571	Burkholderia ubonensis	NA	NA	NA
1030157	Sphingomonas sp. KC8	NA	NA	NA
103817	Janibacter terrae	1	1	NA
106370	Frankia casuarinae	NA	1	NA
106590	Cupriavidus necator	NA	NA	NA
1069082	Halomicrobium katesii DSM 19301	NA	NA	NA
1076	Rhodopseudomonas palustris	NA	NA	NA
1076550	Pantoea rwandensis	1	NA	NA
1078773	Herbaspirillum rubrisubalbicans M1	NA	NA	NA
1089444	Dickeya solani	NA	NA	NA
108981	Acinetobacter schindleri	NA	NA	NA
1094342	Alcanivorax xenomutans	NA	NA	NA
1094489	Bartonella australis Aust/NH1	NA	NA	NA
11019	Alphavirus	NA	NA	NA
11020	Barmah Forest virus	NA	NA	NA
11023	Middelburg virus	NA	NA	NA
11027	O'nyong-nyong virus	NA	NA	NA
11029	Ross River virus	NA	NA	NA
11033	Semliki Forest virus	NA	NA	NA
11034	Sindbis virus	NA	NA	NA
11036	Venezuelan equine encephalitis virus	NA	NA	NA
11047	Equine arteritis virus	NA	NA	NA
11053	Dengue virus 1	NA	NA	NA
1108595	Chromobacterium vaccinii	NA	NA	NA
1109743	Streptomyces sp. SCSIO 03032	NA	NA	NA
11103	Hepatitis C virus	NA	NA	NA
1112204	Gordonia polyisoprenivorans VH2	NA	NA	NA
1117	Cyanobacteria	NA	2	NA
1123269	Sphingomonas sanxanigenens DSM 19645 = NX02	NA	1	NA
1124597	Magnetococcus marinus	NA	NA	NA
1127134	Nocardia cyriacigeorgica GUH-2	NA	1	NA
1133849	Nocardia brasiliensis ATCC 700358	NA	1	NA
1136941	Gordonia sp. QH-11	NA	NA	NA
1142394	Phycisphaera mikurensis NBRC 102666	NA	2	NA
1144275	Corallococcus coralloides DSM 2259	NA	5	NA
1146883	Blastococcus saxobsidens DD2	NA	NA	NA
1147	Synechocystis sp. PCC 6714	NA	1	NA
1150621	Sulfurospirillum multivorans DSM 12446	NA	NA	NA
1156433	Streptococcus sp. I-P16	NA	1	NA
1159195	Southern elephant seal virus	NA	NA	NA
1172567	Streptomyces globisporus C-1027	NA	1	NA
1176649	Agrobacterium fabrum	NA	NA	NA
1178482	Halomonas huangheensis	NA	NA	NA
1185653	Planococcus antarcticus DSM 14505	NA	NA	NA
119060	Burkholderiaceae	NA	1	NA
119219	Cupriavidus metallidurans	NA	NA	NA
1207504	Burkholderia pseudomultivorans	NA	NA	NA
1208324	Celeribacter indicus	69	NA	56
1210908	Halogranum salarium B-1	NA	NA	NA
1219058	Sphingopyxis terrae NBRC 15098	NA	NA	NA
1223566	Bradyrhizobium sp. CCGE-LA001	NA	1	NA
1224	Proteobacteria	NA	51	NA
1225174	Pseudomonas mendocina S5.2	NA	NA	NA
1227739	Hymenobacter swuensis DY53	NA	NA	NA
1230459	Natrinema gari JCM 14663	NA	NA	NA
1231903	Eilat virus	NA	NA	NA
1235591	Pseudorhodoplanes sinuspersici	NA	2	NA
1236	Gammaproteobacteria	NA	11	NA
1239	Firmicutes	NA	9	NA
1242245	Acinetobacter johnsonii XBB1	NA	NA	NA
1245471	Pseudomonas resinovorans NBRC 106553	NA	NA	NA
1246301	Variovorax paradoxus B4	NA	2	NA
1246995	Actinoplanes friuliensis DSM 7358	NA	1	NA
1249634	Serratia marcescens FGI94	NA	NA	NA
1254432	Sorangium cellulosum So0157-2	NA	NA	NA
1261100	Achimota virus 1	NA	NA	NA
12637	Dengue virus	NA	NA	NA
1268	Micrococcaceae	NA	51	NA
1270	Micrococcus luteus	NA	NA	NA
1274	Dermacoccus nishinomiyaensis	1	1	NA
1281	Staphylococcus carnosus	NA	NA	NA
1282	Staphylococcus epidermidis	NA	NA	NA
1283	Staphylococcus haemolyticus	1	NA	NA
